Compound_Name,(-)-Caryophyllene oxide,.alpha.-Amyrin,.beta.-Cryptoxanthin,.beta.-Sitosterol,3-Hydroxyechinenone,"8'-Apo-.beta.-carotenal, all-trans-",AEG(o-30:2),AEG(o-32:2),AEG(o-34:4),AEG(o-34:5),AEG(o-36:6),Antheraxanthin,CL(72:8),Cer(24:1),Cycloartenol acetate,DG(18:0),DG(18:3),DG(20:1),DG(24:0),DG(32:0),DG(34:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:0),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),Diadinochrome,GalCer(d18:3),GalCer(d20:3),GalCer(d22:3),Ginsenoside F1,LPC(16:0),LPC(18:3),LPE(16:0),Lanosterol,Lupeol,Lutein,Lycopene,MG(12:0),MG(16:0),MG(16:1),MG(18:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),"NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester,(9Z,12Z,15Z)-",Nostoxanthin,PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:1),PC(32:2),PC(32:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(34:4),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:5),PC(38:6),PC(40:2),PC(42:1),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),PS(36:2),PS(38:4),Phytosphingosine,SPB 18:0;2OH,SQDG(30:0),SQDG(32:0),SQDG(34:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),Sphinganine,TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(40:1),TG(42:0),TG(42:1),TG(42:2),TG(44:0),TG(44:1),TG(44:2),TG(44:3),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:2),TG(60:3),TG(60:4),TG(60:5),TG(60:6),TG(62:5),Ubidecarenone,Ubiquinone 9,Vitamin K1,Zeaxanthin,"[2,3-dihydroxypropoxy][3-(hexadecanoyloxy)-2-[octadec-9-enoyloxy]propoxy]phosphinic acid",alpha-Tocopherol,beta-Carotene,beta-Zeacarotene,gamma-sitosterol,gibberellic acid,FA(18:4),FA(22:0) amide,FA(22:1),FA(22:1) amide,Oxo fatty acid (18:3),Hydroperoxy fatty acid (18:3),"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid"
PI656087,7410.811256,873313.5006,1107067.883,234685.2392,42005.68891,61277.33549,4190.855727,900528.4038,1141740.691,1248616.961,51777.7327,273764.9222,6908.449546,12134.49615,101522.4061,207147.2706,22656545.68,172449.5662,2477519.811,683812.4438,6562.243935,1679344.966,1840944.861,1234354.09,19550.71573,244261.6261,52065.66448,183273.1671,1631537.827,617399.4694,1071327.925,293416.6898,753744.1169,12855936.61,174018.0233,1737444.129,427279.6261,34254567.27,372146.9286,261249.5945,237181.3298,23946.5598,4140.347586,124071.1428,114219.9703,22934.6392,863560.862,877697.4662,456707.5618,2433377.963,591355.2606,451574.9896,54796.1485,350609.4784,738440.4166,156833.674,2904339.041,246.6866229,42816.50286,6739241.481,2057116.703,5728854.237,127447161.9,148564.9734,40561.92882,47760.77811,130202.4477,38073.31828,495090.1999,20147.45846,77091.00174,18251.2804,21822108.99,27135245.66,56510165.82,10941146.11,58923.12534,4666381.631,8231247.842,7581515.664,8636257.195,2012344.512,328731.9745,107576.3014,109312.9842,116797.4602,9603.806076,9224.6164,508856.9582,11467.3207,19106.66969,233231.8847,53147.82084,2267581.203,14349149.38,1425393.6,906625.3191,160703.4517,4576554.208,1967174.921,98515.78461,583919.8433,941771.1291,12499.83527,62542.77691,137265.5067,28525.29342,17281.98486,1641817.837,24367.2337,58033.80498,242181.2217,5024383.255,37785.09969,216710.0536,125738.4469,297379.964,2603681.87,14262.64746,6082.17954,149481.626,123717.2474,35252.77244,1633.471977,60961.07041,3814.644914,3815.566047,34477.0671,9511.865667,1731.737762,1159.201024,20704.82298,22604.43485,11440.2987,7074.738529,68125.3601,24874.7322,12902.13871,10134.96881,4621.380401,12974.46088,90911.61977,246381.9026,115264.8653,15908.04492,8462.001257,5287.11483,49668.05466,303252.9143,679388.4344,554037.8435,750754.0763,530013.5903,20290.74245,38180.82433,165390.1829,253054.3739,283801.67,520820.9171,2125644.805,669545.3545,274053.8452,11679.17394,6043.213216,3502.546398,9833.492805,11834.067,11360.62367,5162.271595,4159.700721,1887.065853,2779.574267,2292.774879,1478.756233,1106.024639,4807.35232,4649.730678,2429.820874,832.9363105,49710.89789,170807.0577,127279.9221,761179.3501,45341.58755,168992.4893,14308445.54,902258.2967,6592.217085,23606.79273,166552.4441,9709.460864,46633.46645,4050088.462,157805.681,70428.61324,29798.95608
PI533757,9971.16092,574375.3789,1264626.276,181614.9959,79969.67692,61217.75649,2979.051868,1223910.251,1399834.193,1771747.305,60349.32311,426949.5881,6972.637803,10181.42371,147330.5245,237907.635,27399452.11,215308.9526,2836467.288,777919.854,8055.417169,2125861.269,2197908.85,1528654.933,35276.30579,277508.4104,70277.84823,225796.059,2054157.713,851418.1318,1476015.993,417084.9229,1199430.065,16809151.75,325429.0721,2727582.318,792007.097,43146394.11,513848.6068,288089.7721,305679.1205,30274.30867,7641.570185,128155.0313,84083.4355,30617.44848,549809.0155,583540.6874,1027560.57,2883874.894,823044.0482,532620.6013,45664.12067,386234.7086,892285.1238,202524.996,3526100.198,254.3465935,45921.95375,7888998.779,3207902.996,10359178.03,151783740.8,129718.3351,93632.13995,66810.95582,86552.44074,28027.80976,384225.9768,29531.16641,161104.5808,23558.30839,19933850.23,60784853.21,51375217.28,7012105.948,59924.97501,5008411.928,7065389.45,8443735.727,11299209.77,3162642.42,355189.4448,156259.0656,133062.7098,163083.4955,3069.202196,13419.94591,615472.8454,15308.72441,15585.31182,319265.8299,60990.42448,2988967.205,17383186.15,1716369.993,1126647.667,160748.1411,6245031.95,2490152.974,129190.3971,868714.2754,1087171.202,13508.99958,40814.13472,161724.2689,27756.87063,18920.40681,1908724.738,31143.24451,66571.07055,254604.6789,6138595.008,47730.45945,297258.3383,168038.8618,390201.0563,3435889.483,13878.43656,4580.015716,123996.5151,87397.17574,30793.15198,1148.069116,52691.04645,2700.366514,3088.064403,21422.24608,9036.771103,1466.845021,1361.45438,18061.35153,20558.17404,16394.03053,4429.378729,66103.78395,13708.30605,16230.46632,5639.058035,3225.998523,19111.74738,82098.68723,218918.4974,120162.3104,20193.78536,10991.99967,5230.867836,40342.7316,286171.065,717621.4304,746908.6954,1181813.31,913765.5845,17507.09084,35191.0006,160119.0248,299186.2005,438243.285,999279.6316,4844167.116,1774794.114,708089.9373,11613.96638,4284.720921,4231.413849,18624.99267,24529.37348,38769.86419,15316.84452,2582.389136,2381.69173,2222.457074,2421.138513,749.1003504,523.3952861,4323.593844,7071.04025,2789.626414,452.5281601,59963.13904,205153.1764,174356.5805,1712600.997,48784.25869,171011.5934,14753606.74,1123073.238,12282.43507,19343.23572,99017.69729,7006.779232,26990.53592,2179680.454,69090.4044,30068.07976,12533.52936
PI533856,7675.233975,1258975.255,1172227.112,245467.1918,72109.58152,53043.75621,2832.215108,951530.9372,1339358.406,1539936.812,65488.09184,432906.7262,6019.840957,10545.27362,129651.0072,220266.243,25042027.15,215541.2791,2694088.833,659593.1873,7256.326343,2033713.816,2065026.982,1207367.816,24976.92205,236551.3265,73637.3487,237081.2275,2088326.105,691871.5769,1294909.979,468827.9846,1198515.746,15169002.45,299694.8653,2558337.143,664019.2634,38336497.96,453945.6167,292440.8552,269179.2872,32640.55128,4026.712694,128421.1921,72187.2153,28399.11408,1246188.08,1258584.707,631518.8514,2646462.015,703606.9018,496381.7465,38580.44054,384647.0416,900716.2775,171451.0017,3190813.061,334.8341211,45863.3406,7619766.92,3029174.582,7461220.233,139707706.7,126317.2836,45816.71285,57433.14052,88493.28353,24062.40413,548163.7315,46362.15801,252965.6316,26358.41709,24335612.22,26185497.38,64513808.09,12419175.34,79648.01403,5075301.892,5572797.122,12205045.64,11287722.87,2352928.444,442561.1222,266391.8931,131091.0119,209236.641,8900.509685,5856.271935,687797.0113,14199.55482,15228.89873,268175.8,46494.44884,3261813.19,18437209.9,1517221.647,1161399.233,180102.9741,6605074.659,2396106.484,105004.2448,750973.3437,1029509.076,9745.482856,54992.91844,156279.6724,27888.82456,18056.14833,1849199.82,33922.69393,69270.96363,259011.097,6048824.971,47868.75997,287038.7782,161124.1384,369372.7212,3277828.218,13944.41309,5486.350125,147517.9011,80160.92267,23839.61038,1166.89879,43809.61542,2396.313113,2789.407734,16932.53453,5123.727546,1063.54361,1251.330584,17154.50898,12057.27605,14347.57218,5321.431173,61644.31753,15733.01349,12913.0453,8624.406272,9223.477708,14214.6219,103822.0023,249081.4816,102428.6465,17826.41331,13438.536,5830.530774,49721.41438,373697.3393,1173867.13,826492.8711,959790.7983,544654.8078,16227.07498,32955.29941,188287.6149,345492.1584,454576.565,1216838.53,4173079.398,1269998.534,405026.8491,12416.82799,4534.995649,5249.219016,19312.08409,24707.80427,38177.1438,14839.77577,3197.702505,1899.088313,2621.689802,2625.475787,985.2541899,485.0968055,3895.474543,4728.635001,1901.414445,440.7186734,53944.08574,186234.8073,148417.8507,1052531.419,48434.61,197291.7463,15369813.58,1005550.705,10129.16813,16789.19324,140496.8697,8044.48175,37992.99184,2901237.576,121698.1412,47507.38896,20623.47646
PI656002,4353.164617,399148.2667,1358804.434,122356.5166,73558.10014,64673.30594,2973.092268,960781.0754,1407408.31,1560945.305,113810.0595,308011.2593,7430.804209,8530.905467,154770.0963,243938.3458,26308657.34,213354.3149,2641321.454,691609.4629,7142.84786,2121406.754,1966955.394,1036637.159,20542.06031,221371.7944,72900.98214,257679.5545,2209155.533,631652.0807,1148207.42,430837.9075,983124.2301,15747605.82,269835.4858,2695705.172,587792.0656,40211165.86,526304.6356,257942.0684,255608.9176,25270.26512,2119.265626,141641.3086,100588.1014,29618.58506,299930.7646,407942.494,814621.7377,2618124.289,715733.5347,518979.1225,55241.24641,422778.6398,858490.6385,191552.5773,3494006.916,349.5007276,62994.41805,7465018.813,3070400.307,8307392.314,145802931.3,220951.1667,58987.79122,66277.0987,157497.844,33529.36739,524879.3041,32693.32574,153955.473,14399.93471,23270115.85,50366954.83,60807733.02,8389489.561,53944.19367,6901601.263,7132161.748,10658154.99,9387066.445,1758681.717,355341.795,179907.8308,119585.6083,125558.2058,8544.618254,7514.665626,674730.6969,14809.29263,24292.65109,285289.7636,56241.36585,2878870.671,15270274.49,1152800.375,1050843.146,123503.739,5686394.927,1821905.232,75229.24808,803718.4151,1301503.03,17912.43291,48490.26397,132110.2167,27156.19429,22157.58052,1978399.332,43680.82821,85462.53868,250183.2287,6336295.177,50893.13422,332620.2847,165304.6085,375850.5851,3770565.284,13578.09694,6662.162742,329514.0601,211322.2983,73542.27931,2681.212857,124639.7133,5793.481707,3514.453679,35452.75713,15125.42671,1374.826163,1419.410461,23426.61944,15673.23663,20288.86253,5947.868726,63242.06967,32843.93567,14589.72281,6639.564437,4587.884935,14021.23606,87082.24939,210516.8491,90634.12622,10389.06143,7690.514905,4243.93418,52052.74083,336026.0433,957714.0598,714868.7526,739525.2151,428006.0687,21791.69709,38040.31422,203488.5693,340536.0032,412063.1007,970298.7568,2986678.245,711291.4629,248126.9322,14704.65862,5048.546124,5742.810102,11904.27953,23947.69524,28430.12889,5564.552913,3097.535991,1691.839362,2728.948699,1672.367331,926.6588146,640.7985878,4063.133956,4886.419075,1893.286466,445.9880854,46898.40248,168802.9529,139811.9954,1357703.055,62981.49532,198558.2118,15650239.96,729665.3228,17638.18592,18916.01662,168355.6339,5139.369826,23766.05383,2372764.58,112945.4814,47905.9925,20573.49161
PI595739,6837.400169,499825.4208,1121892.493,236881.7639,66771.67827,47848.38622,3261.774337,706733.9793,1077288.863,1124668.251,121314.1807,353283.9253,9513.990848,12219.23465,148250.9485,230972.3656,26618004.61,230024.0099,2654989.007,760808.7446,7584.904191,2205288.19,1965268.894,1258828.758,26648.99226,275919.0529,61755.23165,228283.1406,2036529.577,738186.3457,1502002.296,650274.1978,1428166.626,16861110.24,335877.5014,2447038.032,652587.2581,39213481.82,567160.9937,286369.1588,268375.3745,27527.51778,2493.913035,134764.3484,99246.83344,24090.2799,483714.394,513625.9339,1046941.733,2325257.558,717239.9431,534877.1714,44274.6665,406250.1054,984497.1068,200494.7084,3416875.874,330.8374963,76250.27902,9005914.2,3239159.713,8693773.231,147128945.7,221249.4297,59335.96541,63380.25244,128139.8996,33082.27902,349218.3105,23993.69556,91789.16497,21553.1027,15470892.02,42417198.37,40346636.69,8225173.124,42567.90249,4430728.847,3783058.473,6698619.146,8915898.663,2105050.283,243195.8169,121628.0341,101622.3713,123626.4354,3001.040637,4144.252829,313164.1224,12045.13764,15630.92585,266671.477,58529.60018,2381397.774,13023895.75,1179413.471,1010806.981,120026.4838,4762106.565,1895367.532,92343.54332,500695.0633,968718.4768,9324.786709,42479.44593,155872.1131,33891.7771,19167.37679,2034132.087,37377.07182,104494.0406,298375.9554,6683160.44,52339.2098,310539.0854,179821.4874,405404.79,3724247.557,16945.88879,5369.028444,156845.872,107479.7203,29683.55384,970.7813217,57539.252,2156.79757,3940.196093,17765.53566,5668.512737,1555.21728,1256.657033,21107.31557,23991.05169,18079.71358,6970.841924,69772.04719,16720.53899,8883.598001,10909.09818,3900.957386,14547.82974,85421.28137,262408.4843,127383.883,13889.41361,10031.62576,7106.193363,49684.742,329747.2836,828842.4474,710358.0172,947878,668027.3025,14891.89542,34071.33231,179735.4553,330331.8564,448360.7808,831980.8425,3520325.126,1066869.965,402817.3281,10782.54126,3322.168388,8857.217964,18618.42298,16532.43892,33309.99027,10941.75259,2882.892796,1691.400265,2195.4086,1869.467739,738.8595037,680.4990132,3255.426721,6332.041683,2750.941703,508.629185,59182.33171,194206.4511,155910.1183,1744902.932,45594.89292,207880.1863,14174324.05,912554.9704,24140.78026,27168.69482,112518.6746,9505.313358,37210.50308,3035991.413,73883.24618,29747.55794,12431.94776
PI533824,4497.952194,724120.1648,1381518.821,159208.2893,60998.29383,50799.04121,3080.501051,699120.949,1075192.569,1171309.998,100465.0447,355519.8105,9790.145112,8584.483477,101886.4203,212435.7057,26109722.39,184377.6288,2358932.901,680970.7437,7163.20965,1820554.443,2273055.406,1188826.266,25754.09804,242094.4194,70269.30945,199029.2173,2336530.873,745652.432,2299808.814,381999.8495,904691.0236,15775490.63,205733.413,2141482.033,420250.1703,36397397.26,485436.0054,281909.0351,279045.5078,30125.37619,2524.976011,151611.3451,134289.3303,25928.9526,695489.0697,724468.2548,596834.4229,2872789.818,583227.7318,538816.0053,53359.72795,344788.6941,785274.2543,184672.5801,3631796.272,292.6824715,55071.53251,9207789.802,2727597.025,6607310.124,145095488.6,386897.4951,44323.06526,47975.47467,191160.9099,44763.10488,505681.2404,38728.04385,162058.364,16991.10613,24142414.06,45054105.04,63663105.77,8665282.352,59827.68857,5395967.001,5001415.018,8054531.451,8096984.339,1691854.133,429690.7363,162265.4346,106227.0145,110919.8945,6332.122003,6343.500399,322979.0365,12964.47396,32308.90835,217196.0742,43724.87654,2772212.594,16715689.96,1205761.981,1048474.446,107359.6606,5736919.932,1976916.192,80326.71601,582559.29,828020.2457,10071.98241,40374.44697,140965.8011,28076.43761,11933.36957,1582125.66,23551.26218,55049.24853,185009.8056,4696716.068,25400.61518,206674.5235,115386.9829,265649.0736,2512586.534,14038.21807,5270.150688,157120.6725,106641.9557,34592.10232,1182.526337,55831.69863,3278.299193,4202.96253,17808.52939,6948.453925,1143.64475,1279.538113,15804.35558,18309.27881,12693.3578,5235.780547,58529.51965,13131.13651,13421.82791,7285.953305,4956.781177,11502.48006,75504.17175,186851.0376,84743.94758,14876.52179,11068.66426,5396.737056,45434.35541,268410.9377,727006.8301,542595.1696,669093.5161,438592.5062,15200.39396,34075.68582,165291.4828,247491.309,224049.374,599787.6362,2274550.705,632455.9911,259830.4883,12547.15782,3792.585909,3084.303959,7810.157047,9089.335758,14461.32893,4638.941117,2956.556404,1321.615225,1834.461043,1590.130268,611.3314148,460.1132806,3328.849727,4372.035484,1857.693358,425.2111293,65063.90434,220106.6673,155626.1002,994724.0651,38897.48954,245077.4883,16519066.89,820669.2048,39828.78043,16587.50745,155230.7118,6989.242423,34327.71154,2584491.447,136735.4864,56230.7742,25283.29685
PI534167,4862.69205,1392470.987,1460173.703,170051.6652,60597.69596,63967.49856,2938.638111,685736.8248,960776.4371,1012666.046,74042.10563,363453.9622,15380.73823,7768.848368,114332.7735,254672.9784,24146137.6,171785.4294,2349306.926,888037.0033,6629.269002,1744530.466,2026353.137,1208251.216,18214.20289,358927.5607,64835.17745,209641.3088,1920501.36,678895.0767,1076443.744,371620.9753,850539.5581,13568821.08,207728.4955,2090818.195,439322.63,33308295.08,403340.8514,232987.1469,240980.3576,27190.60148,8342.885298,92040.66901,63249.43483,16518.42561,1344040.604,1388859.454,1031156.941,2845244.529,563734.5774,482793.0721,34952.67801,382673.4714,743040.4998,163776.0968,3035442.149,292.4030177,47319.34893,7124596.052,2191432.74,6187587.262,134893867.1,104755.1742,52892.4338,39541.88151,71463.0838,21083.14463,470344.1878,32373.44251,103290.4336,16507.93803,21966744.34,44790665.05,57092745.44,10498268.73,54545.9809,5079435.057,4345789.807,9615108.355,8191911.508,1904702.249,311412.7895,136926.8268,120751.8511,142992.2943,8230.23943,8651.635719,658028.1516,8259.212739,10534.45187,214262.4483,65709.68209,2742322.732,14865372.31,1371734.712,1053384.214,122707.1181,5412687.889,2083902.648,90279.56753,473622.8276,803504.3913,12023.86265,45872.2617,119494.7274,30023.73834,11501.98088,1397522.191,27255.60912,50887.48724,192373.0623,4624231.819,30048.03475,216916.4884,110984.9022,262787.8255,2425767.649,15011.86944,5068.013599,160823.5264,97360.60622,34158.43892,1530.847624,55538.03328,2884.11257,3535.739749,20776.32916,8962.805115,1475.235786,1584.494305,21681.53518,23773.14744,16796.80216,4939.873728,78353.57265,14655.77799,18203.42079,8149.320807,6022.921051,22223.41383,100621.3794,316808.609,157435.9706,18032.63616,14750.00423,7269.189513,59050.78736,396383.9389,756147.6792,729780.2382,923697.7637,623814.411,21410.46453,40039.24832,193674.4001,342129.9979,402136.4522,582171.5775,2416133.783,718011.7133,295246.714,13659.02992,11367.65165,7233.077792,25976.98262,32341.40399,32107.35733,11063.93148,6432.025436,4641.706958,7030.160661,7066.618655,2468.557308,1970.71475,11374.18246,19270.65422,7092.962476,2260.015597,56918.61511,213927.3673,162303.3874,1718594.761,36210.41552,197431.2065,16090551.34,1126267.101,17145.28418,14404.11267,159623.1473,10997.47968,45253.65737,3515812.023,99676.00859,34975.24714,14865.74631
PI533831,6106.003768,1568776.404,1218658.522,178130.4855,37911.83898,63406.38926,2774.299858,618071.5264,711741.0024,827252.4624,38783.66574,296794.3414,6187.761206,7164.862384,213585.6614,195290.167,18141436.12,135056.0778,1710686.725,723131.6021,6393.996262,1233050.302,1282613.64,880237.9088,15303.12129,283727.7641,43332.1317,129045.0718,1109271.404,477971.1979,830957.7229,249897.9266,596287.016,9509821.7,137227.5445,1448306.922,350724.278,25561636.28,323834.5554,154965.9548,157863.9419,18163.53311,5187.412507,80937.62052,55438.33659,15260.77413,1458998.13,1582983.786,639081.7326,2540969.078,373807.3863,343639.4342,33246.44193,312587.3159,590701.6465,116766.9671,2264032.17,256.4442015,32915.11446,4612673.004,1487840.754,4255570.555,103345501.7,94603.26909,31896.12419,35237.32569,55344.49536,18479.4452,403619.1296,20103.91134,57299.91487,13533.46662,10425114.73,28165282.87,26483212.7,6942239.766,26206.98866,3334864.51,2350594.619,4649314.964,5165222.041,1346090.749,212180.2425,53056.42661,78165.9366,67531.07723,2344.44591,8399.521495,413870.4937,7630.387261,9149.963823,139437.8137,48695.36378,1640466.792,8732869.984,1030322.327,735626.4418,106733.0885,3296178.777,1423386.535,80330.28882,381951.0059,584871.856,8668.149993,18233.69082,130422.0887,24667.44193,12247.92816,1217654.459,20700.78953,40562.73464,163199.7556,3800480.625,24017.02593,178629.9492,82539.87839,218935.8582,2028637.034,12333.72221,4506.727994,143630.8394,104159.6745,26487.54546,1333.407033,48647.69221,3135.611604,2599.30036,25414.64951,6280.178105,1202.4966,1120.123587,18286.3681,20910.70132,13868.76574,4289.60498,68957.20795,16592.39743,14226.71483,8621.666214,2602.774245,10775.75859,84689.78412,223534.7101,119469.2906,13292.50991,12188.16449,7011.797152,50478.21626,306046.0183,632276.7144,580048.6713,897717.3676,754346.0731,17483.0076,28851.79096,165462.5306,275389.384,359376.3659,593475.1547,2973407.998,1139182.887,532900.1136,37793.44002,6706.55159,3186.906584,12117.34716,20703.02636,14338.03863,8129.906248,5759.656555,2940.254675,2265.563601,1800.010955,1486.142877,1662.989286,5639.71815,9257.837136,4300.491215,1157.655099,56771.62901,188029.29,114841.7399,1065136.278,24571.84092,234901.1089,15006200.84,739343.6348,7261.674981,12921.46335,143281.4058,15272.65158,49361.81745,4225420.351,95128.17188,35258.4207,14927.24634
PI533970,7520.704402,399388.7424,1289731.811,138484.5056,71384.42391,50634.15488,3322.670485,732655.4669,1081266.358,1151677.331,73550.269,431956.5628,5918.489833,12402.26724,84254.76377,215705.4819,24872265.73,201093.2623,2465064.083,677913.4268,7747.960893,1809394.929,1644136.779,1235806.942,31571.11623,208483.1482,57833.13988,150037.5671,1524733.23,670113.8793,1198963.598,394267.5987,1141314.065,15838820.11,280877.4694,2671510.949,593472.4025,38623492.28,488569.5102,250361.6458,250646.4418,24020.58306,5090.552571,122404.5994,106723.5683,18698.8113,369891.8541,403553.7952,653671.0216,2267163.036,651806.8562,470952.645,46887.90089,360100.5193,861059.3615,152925.6988,3194592.693,343.9830844,52369.11041,6958182.353,2167166.179,6538205.534,137787795.1,178347.9012,53183.24427,36287.79111,106903.4302,35574.52436,514796.6361,27660.61488,106896.781,15459.72328,18519201.03,41425033.04,47504147.11,10936564.93,41719.59159,5162540.414,6848062.467,7321052.384,9384685.267,2697564.89,270469.2282,78618.61766,133461.909,112860.2217,3849.216857,9517.491497,325891.5659,9349.405819,15656.50889,213378.1378,56548.32578,2346894.226,13077476.22,1559889.649,1053358.581,113931.9104,4880203.995,2189078.803,126896.3728,523627.1288,889047.9621,14702.36208,63556.67118,191918.9297,70823.87236,20527.12733,1868045.148,35703.02808,71835.02839,271868.3122,6007065.194,41824.67674,316636.8099,141404.8669,369483.3834,3201590.257,35411.92648,5281.101243,145917.6026,101830.5755,34295.7088,859.341549,57940.88988,2013.213972,4663.648267,21669.0914,6445.371242,1734.413155,3557.693235,12136.98969,16195.91423,14795.53654,7240.71313,57473.03671,12994.32095,11925.49489,10382.08989,4383.097801,20679.03391,82626.94446,228334.2258,128548.6592,13431.92101,10590.92593,7693.27409,50032.14855,313547.7036,734316.448,568608.4602,893235.2706,698626.406,15287.16278,37743.23179,174020.5709,284073.6632,332579.0712,519073.9371,2573967.921,961655.9676,436041.211,16161.09264,4136.471414,3509.499772,10529.64793,15420.16699,13641.04677,7581.192603,3152.944271,1849.418619,1604.746343,1667.839568,583.2550439,602.0671164,2877.547942,4651.838577,2893.569666,444.3082227,62880.82967,195620.252,140334.7667,1089451.711,42434.30067,208554.74,13887681.41,919956.0511,13983.46669,20663.82796,148170.7609,31657.98288,91604.7298,7826356.139,113098.343,49073.64804,21380.00345
PI576396,8122.081703,454225.5963,1357638.997,139647.3196,70746.70508,63353.66673,2814.604211,871868.7703,1214255.34,1369578.837,65231.5624,449677.8911,11427.09233,7425.241107,95710.7641,231233.0204,26424294.42,191332.8095,2608219.337,709756.7316,6834.731741,1970111.195,1883865.792,1113398.084,19694.47714,237796.865,54646.73554,204451.276,1763006.478,604020.7414,1212743.857,500392.6746,1191608.397,16349072.01,267787.5524,2334311.419,594682.5672,38301971.87,430157.0858,278368.2134,280419.873,27526.10992,5601.324259,119377.9019,77493.07702,22969.63075,430350.2772,460563.5475,1016679.155,2388480.768,678618.8495,520325.6386,49418.90747,382384.6659,813704.2148,177329.4815,3414807.172,233.0555064,59536.12881,8461165.954,3042760.487,7301442.16,144784602.6,150760.8839,59193.49713,59253.36762,97702.12093,25831.02514,530851.009,24561.78117,80827.64879,16531.30221,18124118.4,39774534.3,46146890.37,10195507.67,60428.11462,3724744.474,4305825.107,9536389.482,8101068.471,1888375.359,323249.1941,166263.9345,99567.7674,103452.0492,5729.268278,10786.59553,654319.199,11484.81304,17146.46771,260410.1605,60291.09151,2610975.565,14708955.56,1329062.29,971098.9584,118950.0424,5196568.564,1984907.935,95048.36693,659702.6827,1032767.882,9665.923834,59995.98056,93590.55738,20973.12764,21362.0124,2201997.814,37258.96921,93326.75809,297206.9375,7000573.811,56053.35486,303701.9236,190182.0897,407764.6451,3628657.297,10486.56379,4118.234144,146880.7654,97752.31821,36965.90854,1011.600996,60776.16218,2169.493881,5199.037279,23828.46254,5934.074834,1280.630193,1489.514869,12898.44658,13035.90354,13865.42637,8329.121381,58853.02529,10867.5897,12734.40009,6782.549588,5358.803591,14817.66778,73461.98926,160191.016,79881.69432,11499.1345,9648.085275,5157.707567,43169.95094,235772.9908,569324.508,417227.7597,561174.4489,408313.315,17263.63114,28204.5149,131237.2771,201626.0813,224811.8357,479856.5716,1875050.277,570251.2433,245516.4318,10235.01514,4172.214671,3530.784314,7170.692057,9364.483841,17165.40638,4306.499617,3850.871355,1435.938441,1749.685918,1752.897091,665.3837174,494.7239219,2597.356212,4917.265429,2078.564607,401.6973857,45551.56946,166605.8628,144726.9044,1694465.306,48753.06251,179447.1536,14644280.36,966872.482,10943.34018,20818.19143,129728.1401,15068.26932,47377.09781,3986067.808,103373.2847,46895.33584,19432.96029
