Chromosome	gene	max_pvalue	phenotype	phenotype_number	log10
5	SORBI_3005G041700	9.33E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_MG,Sum_DGDG_Sum_GalCer,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	19	7.030206341
5	SORBI_3005G041900	9.08E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_MG,Sum_DGDG_Sum_GalCer,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	19	7.041967676
5	SORBI_3005G042000	9.08E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_MG,Sum_DGDG_Sum_GalCer,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	19	7.041967676
5	SORBI_3005G042100	9.08E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_GalCer,Sum_AEG_Sum_MG,Sum_DGDG_Sum_GalCer,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	19	7.041967676
6	SORBI_3006G025000	3.58E-08	"Sum_AEG_Sum_LPC,Sum_AEG_Sum_PG,Sum_AEG_Sum_TG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PG,Sum_DG_Sum_PG,Sum_DG_Sum_TG,Sum_DGDG_Sum_PG,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PG,Sum_MGDG_Sum_PG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PE_Sum_PG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	19	7.446317062
7	SORBI_3007G112301	4.87E-08	"Sum_AEG_Sum_DGDG,Sum_Cer_Sum_DGDG,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MG,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PS,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PG,Sum_PA_Sum_PG,Sum_PA_Sum_PS,Sum_PA_Sum_SQDG,Sum_PC_Sum_PG,Sum_PE_Sum_PG"	19	7.312576013
7	SORBI_3007G149700	6.66E-08	"Sum_AEG_Sum_PC,Sum_Cer_Sum_MGDG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_TG,Sum_DGDG_Sum_PC,Sum_FA_Sum_PC,Sum_LPC_Sum_PE,Sum_LPC_Sum_TG,Sum_LPE_Sum_PC,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,Sum_SQDG_Sum_TG,TG_56_8_,TG_56_9_"	19	7.176385333
1	SORBI_3001G057100	3.14E-08	"AEG_o_30_2_,DG_38_3_,FA_22_1_,PC_38_2_,PC_38_3_,Sum_FA_Sum_GalCer,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	18	7.503027478
1	SORBI_3001G229200	9.31E-08	"PC_36_3_,PE_34_1_,Sum_AEG_Sum_PA,Sum_AEG_Sum_PS,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PS,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PS,Sum_PA_Sum_PS,Sum_PC_Sum_PE,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_TG"	18	7.031280355
5	SORBI_3005G110409	2.64E-08	"FA_22_0__amide,Sum_Cer_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PG,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS"	18	7.578997922
5	SORBI_3005G130001	8.94E-08	"Sum_AEG_Sum_PE,Sum_Cer_Sum_DG,Sum_Cer_Sum_FA,Sum_Cer_Sum_PC,Sum_DG_Sum_PE,Sum_DG_Sum_TG,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_TG,Sum_PS_Sum_SQDG,TG_56_5_"	18	7.048800418
7	SORBI_3007G112400	4.76E-08	"FA_22_0__amide,Sum_AEG_Sum_PA,Sum_Cer_Sum_PA,Sum_DG_Sum_MGDG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPC_Sum_PA,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG"	18	7.322690951
8	SORBI_3008G088836	1.66E-08	"Sum_AEG_Sum_Cer,Sum_AEG_Sum_GalCer,Sum_Cer_Sum_GalCer,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_DG_Sum_TG,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_TG,Sum_FA_Sum_PC,Sum_LPC_Sum_PC,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	18	7.778964141
3	SORBI_3003G162200	1.82E-08	"DG_16_0_,Sum_AEG_Sum_LPE,Sum_AEG_Sum_MGDG,Sum_AEG_Sum_PE,Sum_Cer_Sum_LPE,Sum_DG_Sum_MGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_LPE,Sum_FA_Sum_MGDG,Sum_LPC_Sum_LPE,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PG,Sum_MGDG_Sum_TG,Sum_PC_Sum_PG"	17	7.739304583
4	SORBI_3004G118200	8.28E-08	"Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	17	7.08217574
4	SORBI_3004G118300	8.28E-08	"Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	17	7.08217574
4	SORBI_3004G118400	8.28E-08	"Sum_AEG_Sum_PA,Sum_AEG_Sum_TG,Sum_DG_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_TG,Sum_FA_Sum_PA,Sum_LPC_Sum_PA,Sum_LPE_Sum_PA,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_SQDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	17	7.08217574
5	SORBI_3005G041800	3.12E-08	"AEG_o_30_2_,DG_38_3_,PC_38_2_,PC_38_3_,Sum_AEG_Sum_MG,Sum_TG,TG_50_3_,TG_50_6_,TG_52_5_,TG_52_6_,TG_52_7_,TG_54_8_,TG_54_9_,TG_56_4_,TG_56_5_,TG_56_8_,TG_56_9_"	17	7.505453882
5	SORBI_3005G110412	2.64E-08	"Sum_Cer_Sum_PA,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_PS,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PG,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS"	17	7.578997922
5	SORBI_3005G110487	7.93E-08	"Sum_AEG_Sum_Cer,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PS,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_TG,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_TG,Sum_PC_Sum_PE,TG_58_5_"	17	7.100883033
5	SORBI_3005G110490	7.93E-08	"Sum_AEG_Sum_Cer,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PS,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PE,Sum_DG_Sum_PE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_PE,Sum_DGDG_Sum_TG,Sum_FA_Sum_PC,Sum_LPC_Sum_LPE,Sum_LPE_Sum_PE,Sum_MGDG_Sum_PE,Sum_MGDG_Sum_TG,Sum_PC_Sum_PE,TG_58_5_"	17	7.100883033
7	SORBI_3007G112500	8.16E-08	"Sum_AEG_Sum_LPE,Sum_AEG_Sum_SQDG,Sum_AEG_Sum_TG,Sum_Cer_Sum_LPE,Sum_Cer_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPE_Sum_MGDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PE_Sum_SQDG,TG_46_2_,TG_48_4_,TG_50_1_"	17	7.088180796
7	SORBI_3007G149750	6.39E-08	"Sum_AEG_Sum_PC,Sum_Cer_Sum_MGDG,Sum_Cer_Sum_PA,Sum_Cer_Sum_PC,Sum_Cer_Sum_PG,Sum_DG_Sum_TG,Sum_DGDG_Sum_PC,Sum_FA_Sum_PC,Sum_LPC_Sum_PE,Sum_LPE_Sum_PC,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PC,Sum_MGDG_Sum_TG,Sum_PA_Sum_PC,Sum_PA_Sum_PE,TG_56_8_,TG_56_9_"	17	7.194166854
10	SORBI_3010G173300	4.59E-08	"Sum_AEG_Sum_DGDG,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PE,Sum_LPE_Sum_MGDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PC_Sum_PE"	17	7.338138589
10	SORBI_3010G173400	4.59E-08	"Sum_AEG_Sum_DGDG,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PE,Sum_LPE_Sum_MGDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PC_Sum_PE"	17	7.338138589
10	SORBI_3010G173500	4.59E-08	"Sum_AEG_Sum_DGDG,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PE,Sum_LPE_Sum_MGDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PC_Sum_PE"	17	7.338138589
10	SORBI_3010G173550	4.59E-08	"Sum_AEG_Sum_DGDG,Sum_AEG_Sum_LPC,Sum_AEG_Sum_LPE,Sum_AEG_Sum_PE,Sum_Cer_Sum_DGDG,Sum_Cer_Sum_LPE,Sum_DG_Sum_TG,Sum_DGDG_Sum_LPE,Sum_DGDG_Sum_TG,Sum_FA_Sum_GalCer,Sum_FA_Sum_LPE,Sum_LPC_Sum_LPE,Sum_LPC_Sum_PE,Sum_LPE_Sum_MGDG,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PC_Sum_PE"	17	7.338138589
1	SORBI_3001G229300	9.31E-08	"Sum_AEG_Sum_PA,Sum_AEG_Sum_PS,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DGDG_Sum_PA,Sum_DGDG_Sum_PS,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_PS,Sum_PA_Sum_PS,Sum_PC_Sum_PE,Sum_PC_Sum_PS,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_PS_Sum_TG"	16	7.031280355
3	SORBI_3003G161950	8.62E-08	"MG_20_4_,Sum_AEG_Sum_GalCer,Sum_DG_Sum_PA,Sum_DG_Sum_PS,Sum_DGDG_Sum_GalCer,Sum_DGDG_Sum_PS,Sum_FA_Sum_GalCer,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PA,Sum_PA_Sum_PS,Sum_PG_Sum_PS,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_"	16	7.06474008
9	SORBI_3009G056032	9.07E-08	"SQDG_32_0_,Sum_AEG_Sum_PG,Sum_Cer_Sum_FA,Sum_Cer_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PE,Sum_LPC_Sum_PG,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PA_Sum_TG,Sum_PC_Sum_PE,Sum_PC_Sum_TG,Sum_SQDG_Sum_TG,TG_44_0_"	16	7.042178827
9	SORBI_3009G056100	9.07E-08	"SQDG_32_0_,Sum_AEG_Sum_PG,Sum_Cer_Sum_FA,Sum_Cer_Sum_PA,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PE,Sum_LPC_Sum_PG,Sum_MGDG_Sum_PA,Sum_MGDG_Sum_TG,Sum_PA_Sum_PE,Sum_PA_Sum_TG,Sum_PC_Sum_PE,Sum_PC_Sum_TG,Sum_SQDG_Sum_TG,TG_44_0_"	16	7.042178827
9	SORBI_3009G091101	5.01E-08	"Sum_AEG_Sum_MGDG,Sum_DG_Sum_PS,Sum_DG_Sum_TG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_TG,Sum_LPC_Sum_PS,Sum_LPE_Sum_PS,Sum_MGDG_Sum_PS,Sum_MGDG_Sum_TG,Sum_PA_Sum_PS,Sum_PA_Sum_TG,Sum_PC_Sum_PG,Sum_PC_Sum_TG,Sum_PE_Sum_PS,Sum_PG_Sum_PS,Sum_SQDG_Sum_TG"	16	7.300581601
10	SORBI_3010G064100	9.06E-08	"Sum_Cer_Sum_LPC,Sum_Cer_Sum_MGDG,Sum_FA_Sum_GalCer,Sum_PS_Sum_SQDG,TG_40_0_,TG_42_1_,TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_3_,TG_50_1_,TG_52_6_,TG_54_9_,TG_56_5_,TG_58_1_"	16	7.042944383
10	SORBI_3010G064200	9.06E-08	"Sum_Cer_Sum_LPC,Sum_Cer_Sum_MGDG,Sum_FA_Sum_GalCer,Sum_PS_Sum_SQDG,TG_40_0_,TG_42_1_,TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_3_,TG_50_1_,TG_52_6_,TG_54_9_,TG_56_5_,TG_58_1_"	16	7.042944383
10	SORBI_3010G064300	9.06E-08	"Sum_Cer_Sum_LPC,Sum_Cer_Sum_MGDG,Sum_FA_Sum_GalCer,Sum_PS_Sum_SQDG,TG_40_0_,TG_42_1_,TG_44_1_,TG_46_1_,TG_46_2_,TG_48_1_,TG_48_3_,TG_50_1_,TG_52_6_,TG_54_9_,TG_56_5_,TG_58_1_"	16	7.042944383
10	SORBI_3010G143000	4.06E-08	"SQDG_32_0_,Sum_AEG_Sum_MG,Sum_Cer_Sum_MG,Sum_DG_Sum_TG,Sum_DGDG_Sum_MG,Sum_FA_Sum_MG,Sum_LPC_Sum_MG,Sum_LPE_Sum_MG,Sum_MGDG_Sum_TG,TG_56_8_,TG_58_3_,TG_58_4_,TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_"	16	7.391194119
1	SORBI_3001G183200	8.62E-08	"FA_22_0__amide,Sum_AEG_Sum_Cer,Sum_AEG_Sum_PE,Sum_DG_Sum_MGDG,Sum_DG_Sum_TG,Sum_DGDG_Sum_MGDG,Sum_DGDG_Sum_TG,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_SQDG_Sum_TG,TG_58_5_"	15	7.064421298
4	SORBI_3004G157800	8.59E-08	"FA_22_0__amide,MGDG_36_4_,MGDG_36_5_,PC_32_3_,PC_35_3_,Sum_AEG_Sum_TG,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_FA_Sum_LPE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	15	7.065780344
5	SORBI_3005G111550	1.11E-09	"FA_22_1__amide,Sum_DG_Sum_PE,Sum_DG_Sum_TG,Sum_DGDG_Sum_TG,Sum_FA,Sum_FA_Sum_MGDG,Sum_LPC_Sum_MGDG,Sum_LPE_Sum_MGDG,Sum_LPE_Sum_PE,Sum_MGDG_Sum_TG,Sum_PA_Sum_TG,Sum_PC_Sum_TG,Sum_PG_Sum_TG,Sum_PS_Sum_TG,Sum_SQDG_Sum_TG"	15	8.953255178
