Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number			Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
5	SORBI_3005G141000	TG(16:0_18:2_22:0);TG(16:1_20:1_20:2);TG(18:0_18:2_18:3);TG(18:0_18:2_20:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0);TG(18:2_18:2_22:1);TG(18:2_18:3_20:1)	103;159;60;145;105;145;162;96;137	SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322;SNP_59798322	4.103015e-08;5.255365e-09;1.408169e-08;2.839447e-09;4.585406e-09;2.839447e-09;2.399495e-08;2.85729e-09;6.198723e-08	9			1	SORBI_3001G435100	AEG(o-15:2_15:0)	51	SNP_71352834	6.69E-09	1
6	SORBI_3006G093500	PC(18:2_20:4);TG(16:0_18:2_22:0);TG(16:1_16:1_22:5);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:2_18:2);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0);TG(18:2_18:3_20:1)	33;5;38;22;16;26;22;11;12	SNP_46345574;SNP_46346445;SNP_46338288;SNP_46345632;SNP_46332192;SNP_46345694;SNP_46345632;SNP_46345632;SNP_46345632	1.248673e-09;7.566051e-08;1.038574e-10;3.705824e-09;3.07061e-08;1.298613e-15;3.705826e-09;3.745944e-09;1.269821e-10	9			1	SORBI_3001G435201	AEG(o-15:2_15:0)	32	SNP_71359062	6.69E-09	1
6	SORBI_3006G093550	PC(18:2_20:4);TG(16:0_18:2_22:0);TG(16:1_16:1_22:5);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:2_18:2);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0);TG(18:2_18:3_20:1)	34;12;39;28;12;26;28;19;17	SNP_46345574;SNP_46346445;SNP_46346550;SNP_46345632;SNP_46344463;SNP_46345694;SNP_46345632;SNP_46345632;SNP_46345632	1.248673e-09;7.566051e-08;1.038574e-10;3.705824e-09;3.07061e-08;1.298613e-15;3.705826e-09;3.745944e-09;1.269821e-10	9			1	SORBI_3001G435300	AEG(o-15:2_15:0)	31	SNP_71365387	6.69E-09	1
7	SORBI_3007G017900	TG(16:1_16:1_22:5);TG(18:0_18:2_18:3);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:2);TG(18:1_18:2_18:3);TG(18:2_18:2_22:1);TG(18:2_18:3_20:1)	95;98;100;99;102;91;100;99;101	SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226;SNP_1535226	5.29967e-08;7.261655e-08;7.108119e-09;8.218344e-08;1.186104e-08;2.424396e-08;7.108144e-09;1.558961e-08;7.33554e-10	9			1	SORBI_3001G435400	AEG(o-15:2_15:0)	37	SNP_71367550	6.69E-09	1
7	SORBI_3007G018000	TG(16:1_16:1_22:5);TG(18:0_18:2_18:3);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:2);TG(18:1_18:2_18:3);TG(18:2_18:2_22:1);TG(18:2_18:3_20:1)	97;112;115;101;113;98;115;102;111	SNP_1551859;SNP_1551859;SNP_1551859;SNP_1551859;SNP_1551859;SNP_1551675;SNP_1551859;SNP_1551859;SNP_1551859	5.29967e-08;7.261655e-08;7.108119e-09;8.218344e-08;1.186104e-08;2.424396e-08;7.108144e-09;1.558961e-08;7.33554e-10	9			1	SORBI_3001G435500	AEG(o-15:2_15:0)	27	SNP_71379024	9.42E-08	1
1	SORBI_3001G311700	AEG(o-16:2_18:2);DG(18:0_18:2_0:0);PC(14:0_18:0);PC(14:0_18:2);PE(16:0_18:2);PE(16:0_18:3);PE(18:0_18:3);PE(18:1_18:1)	89;85;86;164;83;80;132;121	SNP_59842533;SNP_59843709;SNP_59843709;SNP_59843070;SNP_59843709;SNP_59842533;SNP_59843709;SNP_59843709	8.108799e-08;5.330221e-09;8.316551e-08;1.09987e-09;5.449951e-08;4.924598e-08;5.251615e-10;3.755925e-08	8			1	SORBI_3001G435600	AEG(o-15:2_15:0)	27	SNP_71384667	9.42E-08	1
1	SORBI_3001G311800	AEG(o-16:2_18:2);DG(18:0_18:2_0:0);PC(14:0_18:0);PC(14:0_18:2);PE(16:0_18:2);PE(16:0_18:3);PE(18:0_18:3);PE(18:1_18:1)	87;83;85;155;82;78;131;119	SNP_59844733;SNP_59844733;SNP_59844733;SNP_59844733;SNP_59844733;SNP_59844733;SNP_59844733;SNP_59844733	8.108799e-08;5.330221e-09;8.316551e-08;1.09987e-09;5.449951e-08;4.924598e-08;5.251615e-10;3.755925e-08	8			1	SORBI_3001G435650	AEG(o-15:2_15:0)	27	SNP_71394392	9.42E-08	1
1	SORBI_3001G384300	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0);PE(16:0_18:1)	220;215;213;218;220;195;212;243	SNP_67162446;SNP_67162446;SNP_67165032;SNP_67162446;SNP_67162446;SNP_67165032;SNP_67162446;SNP_67162446	2.03976e-08;5.716941e-09;8.227493e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.545236e-08;4.671768e-09	8			2	SORBI_3002G256800	AEG(o-15:2_15:0)	18	SNP_64260004	1.55E-10	1
1	SORBI_3001G384400	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0);PE(16:0_18:1)	228;215;225;212;226;195;223;242	SNP_67174430;SNP_67174430;SNP_67177689;SNP_67174430;SNP_67174430;SNP_67180494;SNP_67180494;SNP_67173459	2.03976e-08;5.716941e-09;7.824566e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.222286e-08;4.671768e-09	8			2	SORBI_3002G256900	AEG(o-15:2_15:0)	34	SNP_64269305	1.55E-10	1
1	SORBI_3001G384500	PC(16:0_20:3);PC(16:0_22:5);PC(16:0_22:6);PC(18:1_20:1);PC(18:1_24:1);PC(18:2_20:0);PC(18:3_0:0);PE(16:0_18:1)	229;220;228;211;227;196;226;242	SNP_67177689;SNP_67177689;SNP_67177689;SNP_67177689;SNP_67177689;SNP_67180494;SNP_67180494;SNP_67177689	2.03976e-08;5.716941e-09;7.824566e-08;6.444877e-08;6.588424e-11;3.333248e-08;3.222286e-08;4.671768e-09	8			2	SORBI_3002G257001	AEG(o-15:2_15:0)	35	SNP_64282228	1.55E-10	1
9	SORBI_3009G021700	PC(18:1_20:4);PC(18:2_20:4);TG(12:0_16:0_16:0);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:1_22:6);TG(14:0_18:3_18:3);TG(16:0_18:1_20:0)	43;69;38;23;38;36;91;13	SNP_1930405;SNP_1930405;SNP_1930425;SNP_1932001;SNP_1930425;SNP_1930405;SNP_1930405;SNP_1930945	1.187996e-09;3.691445e-14;2.402727e-10;4.681005e-08;2.402737e-10;9.691296e-08;1.516695e-10;5.489616e-08	8			2	SORBI_3002G257100	AEG(o-15:2_15:0)	36	SNP_64282228	1.55E-10	1
9	SORBI_3009G125850	PC(16:1_20:5);TG(14:0_16:0_18:1);TG(16:0_18:2_22:0);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0)	13;105;11;5;6;1;5;1	SNP_47917533;SNP_47912696;SNP_47914090;SNP_47917650;SNP_47923373;SNP_47928199;SNP_47917650;SNP_47928199	2.93768e-13;4.633011e-09;4.271574e-08;8.104108e-10;2.490439e-09;9.666419e-09;8.104181e-10;7.037434e-10	8			2	SORBI_3002G257150	AEG(o-15:2_15:0)	29	SNP_64285358	1.55E-10	1
9	SORBI_3009G125900	PC(16:1_20:5);TG(14:0_16:0_18:1);TG(16:0_18:2_22:0);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0)	13;107;10;5;7;2;5;1	SNP_47917533;SNP_47917573;SNP_47927677;SNP_47917650;SNP_47923373;SNP_47928199;SNP_47917650;SNP_47928199	2.93768e-13;4.633011e-09;4.271574e-08;8.104108e-10;2.490439e-09;9.666419e-09;8.104181e-10;7.037434e-10	8			2	SORBI_3002G257200	AEG(o-15:2_15:0)	29	SNP_64286509	1.55E-10	1
9	SORBI_3009G126000	PC(16:1_20:5);TG(14:0_16:0_18:1);TG(16:0_18:2_22:0);TG(18:0_18:2_20:1);TG(18:1_18:1_18:1);TG(18:1_18:1_20:3);TG(18:1_18:2_18:3);TG(18:1_18:2_22:0)	12;108;10;2;7;2;2;1	SNP_47927843;SNP_47927577;SNP_47927677;SNP_47928199;SNP_47926379;SNP_47928199;SNP_47928199;SNP_47928199	2.93768e-13;4.633011e-09;4.271574e-08;8.104108e-10;2.490439e-09;9.666419e-09;8.104181e-10;7.037434e-10	8			3	SORBI_3003G189600	AEG(o-15:2_15:0)	4	SNP_50976728	9.16E-08	1
10	SORBI_3010G143000	SQDG(16:0_18:1);TG(18:1_18:3_22:0);TG(18:1_20:3_22:0);TG(18:2_18:2_18:4);TG(18:2_18:3_22:1);TG(18:2_20:2_22:2);TG(18:2_20:3_22:0);TG(18:3_18:3_18:3)	31;9;18;17;14;18;31;16	SNP_37915678;SNP_37919553;SNP_37916260;SNP_37918936;SNP_37919087;SNP_37918936;SNP_37915678;SNP_37918369	2.287147e-09;1.308731e-08;1.900102e-08;1.081138e-11;5.722967e-10;1.286142e-09;2.646204e-22;5.406184e-11	8			3	SORBI_3003G212100	AEG(o-15:2_15:0)	8	SNP_54672304	3.46E-09	1
1	SORBI_3001G223100	TG(12:0_16:0_16:0);TG(14:0_14:0_16:1);TG(14:0_14:0_18:0);TG(14:0_16:0_18:1);TG(14:0_16:0_18:2);TG(16:0_16:0_20:1);TG(16:0_18:1_20:0)	79;57;79;53;58;34;40	SNP_21321542;SNP_21321574;SNP_21321542;SNP_21321808;SNP_21321542;SNP_21322778;SNP_21322778	5.257499e-08;8.626937e-10;5.257522e-08;1.113761e-09;8.73871e-08;8.912658e-08;1.028256e-08	7			3	SORBI_3003G237400	AEG(o-15:2_15:0)	8	SNP_57662650	7.63E-08	1
2	SORBI_3002G116900	PC(18:2_20:4);TG(14:0_18:1_18:2);TG(18:1_18:2_18:2);TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:2_20:3_22:0);TG(18:3_18:3_18:3)	40;60;63;68;53;58;65	SNP_14453612;SNP_14451934;SNP_14451934;SNP_14451934;SNP_14451934;SNP_14451934;SNP_14451934	5.265739e-08;4.281005e-08;2.865865e-08;2.97061e-10;1.959224e-10;2.668922e-10;1.530549e-11	7			3	SORBI_3003G392550	AEG(o-15:2_15:0)	17	SNP_70343062	1.08E-09	1
2	SORBI_3002G117000	PC(18:2_20:4);TG(14:0_18:1_18:2);TG(18:1_18:2_18:2);TG(18:2_18:2_18:4);TG(18:2_20:2_22:2);TG(18:2_20:3_22:0);TG(18:3_18:3_18:3)	35;55;65;59;45;47;63	SNP_14460522;SNP_14459835;SNP_14459661;SNP_14459661;SNP_14460321;SNP_14460321;SNP_14459835	5.265739e-08;4.281005e-08;2.865865e-08;2.97061e-10;1.959224e-10;2.668922e-10;1.530549e-11	7			3	SORBI_3003G392600	AEG(o-15:2_15:0)	32	SNP_70367806	1.08E-09	1
