,DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(30:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(60:4),TG(60:5),TG(60:6)
PI329440_control,29410440.56,324245.0349,2862337.583,3273105.405,3596294.443,2510271.611,84450.32979,107359.3837,199574.8056,3251651.81,1561148.171,2988489.969,525267.6257,1235038.317,21407819.13,274686.6256,3720717.554,711927.8669,48435712.74,1127510.625,787761.373,1407686.21,355761.8683,4090139.242,5557.927586,63564.87012,11480151.08,3716315.538,11645432.61,156436073.6,32379.72628,2540709.182,84819.69175,257350.5806,8436384.685,57680.45255,436884.8431,175525.0809,485704.1585,4736961.792,10322.73182,321422.452,133739.0329,83849.42218,123569.2541,3612.686539,60263.71182,9116.848664,34884.36691,47815.54331,30215.04224,21044.96623,93712.6734,46582.60514,22881.94871,30287.12685,5259.74635,56442.24944,141682.2249,657529.6357,476344.5282,38888.14243,31786.81315,17481.0016,61992.29111,491795.4342,1480981.571,1489235.26,2345913.697,1784010.805,28201.27314,26047.49295,168137.9465,421450.9029,612694.0244,1076601.248,5056582.733,2159976.187,1138183.72,57388.04701,11010.73083,9059.194155,34186.43136,39525.82166,46379.20534,26695.50006,12585.3209,11906.59909,8823.505247,11820.14143,10910.76534,25749.65779,18082.44742
PI329440_lowinput,22453638.8,3565668.851,2346336.601,1866929.637,2107000.666,2641516.088,56190.18315,72584.75344,347807.9105,1746422.338,765509.1213,1492901.541,438268.8952,1229706.21,15149572.08,254135.0755,2646503.062,707291.0138,34197434.65,637112.2878,352834.7639,812841.5648,99949.48256,2746356.576,7987.89777,42660.14917,6615084.774,2970932.53,6626267.209,123800652.8,12135.88158,1227278.633,36117.55687,229320.9769,3407989.064,21513.73442,189325.1463,99122.71344,260156.6234,1517439.433,38702.25235,414321.3563,378823.5802,61472.05166,100416.8983,5831.231282,17117.43634,26516.25316,53691.72807,51229.17846,32500.51097,3036.775868,91455.76947,51027.00461,30497.8473,7977.367939,1585.477974,3628.378964,109327.8462,200217.6382,91343.78229,14548.68166,5617.624433,3135.034967,41234.56373,158414.2599,391163.3924,880004.5087,1135098.233,796867.7577,15156.57483,82750.44736,261551.7686,699602.6893,1726073.02,1660365.705,5505994.906,2648801.79,1202427.623,40940.20011,7974.341981,7294.936809,19105.13002,30487.9976,166720.4872,18503.24143,5672.567615,3229.01597,3635.99419,1858.78812,4892.011893,5806.299081,2476.222397
PI34911_control,22728671.44,215846.6433,2732897.248,2092860.724,1933999.173,1171903.131,30531.16913,82237.01858,219041.3912,2162935.99,685189.1064,1186169.266,575112.6616,1577794.046,15506447.45,383178.3443,2751126.421,556158.1046,34199130.07,662039.9043,547744.7032,955045.573,174926.9799,3062611.962,681.9613006,71035.0648,8205023.13,3370530.866,6070626.483,128319762.9,25141.61022,2221515.095,114542.4028,411702.3758,6918445.32,40480.83594,400879.1755,201383.2699,438314.0259,3622107.084,109629.144,2055901.938,1484591.472,377479.6205,610867.2787,25185.99075,147669.6744,77703.93593,61894.79361,103612.1175,47520.20889,12169.53798,82602.37158,41910.53003,38604.18384,45618.73101,7489.200311,17034.86057,126600.3874,282960.1337,157157.3483,18312.68304,8834.234239,6048.433998,44946.50139,341803.3156,775781.9807,632325.606,707756.4213,529852.7049,21289.39688,42861.27577,286919.6303,349871.1112,396338.4105,657528.1132,1796726.537,568029.4419,247428.0416,18319.56499,5715.200231,6003.566155,15235.32813,12291.81159,15650.03663,4945.927095,3135.534348,2315.577543,2259.910597,2538.286342,3746.578773,6142.038757,2741.845208
PI34911_lowinput,25023469.9,4223790.977,2657081.887,2036816.528,2086387.19,3658868.988,53150.71284,89291.18992,389004.6524,1706828.174,959375.19,2026695.769,513262.3147,1311547.158,14720397.88,287618.6052,3490337.666,878598.8565,43810314.71,815873.5199,340783.2972,946828.6219,100311.7658,3125715.069,7965.286223,52929.81273,5708867.25,3004878.464,6544476.578,137555511.8,17859.54291,1833663.211,41081.09253,172604.6661,3884503.058,27263.0546,264424.8801,114922.1208,302689.5993,1924090.427,24449.82465,514157.1875,210003.6968,84196.29355,156518.5985,8672.481993,44873.25349,27978.97753,91664.56379,115147.1024,57988.70485,2113.251181,140855.366,189016.1718,131114.3914,9254.653627,1720.192236,5875.239251,284135.7737,339252.6421,152389.3843,17077.86361,9546.921293,6315.102563,82797.15388,396955.6637,671356.936,1194867.418,1645485.946,1516446.493,39224.52636,277178.8629,877559.9975,1574808.419,3143487.862,2342899.872,7824092.421,5721620.692,3321977.538,62092.3258,28403.04561,24355.65983,38041.57095,40724.7476,208879.6637,27891.18368,21457.71095,5558.503077,4075.422224,2605.571018,6202.469801,7766.608681,4779.069708
PI35038_control,20959582.22,210642.5765,2716346.592,1800005.757,1582255.501,1036386.311,19017.65042,71309.42114,180101.1991,1586847.336,543300.6703,1026210.842,381879.8202,933139.6327,11971567.03,213181.5166,1855997.3,395095.9,29374574.44,614707.518,434268.5987,920894.1201,126247.4165,2618403.388,89.17527255,52742.48783,6094405.195,2406749.658,4623492.053,120509963,15219.68732,1461462.706,62820.15878,249510.7126,4406540.992,29136.6059,227463.894,116053.6568,263444.3013,2467229.088,44170.62284,645380.3764,473673.7963,120960.311,197125.2602,9024.656563,51686.42658,26081.58016,25645.36105,40890.68978,24484.09889,6652.590228,54348.13906,19313.22343,16606.94847,19203.6313,3330.662726,9467.135499,61662.12801,177316.3989,96098.5416,8136.705141,6563.765973,5135.941893,25310.62524,230532.4351,433903.2669,350682.1184,508243.5242,440216.3861,10981.17949,24882.94319,253487.3783,182309.4576,170195.501,377267.1044,1481224.73,546226.446,236734.5692,17184.94462,2954.954669,3529.012727,7806.638444,8638.78221,11753.53038,4931.926743,1750.243046,1961.999887,937.4934704,1457.369855,1977.904144,3902.362214,2229.259455
PI35038_lowinput,16868020.08,4095714.823,2439493.542,1281522.884,1335036.961,2029993.971,28050.38376,58181.57655,229999.7501,1184452.292,527014.6072,1118908.999,297000.0423,810140.4194,9162007.833,170473.2623,1843394.375,494904.469,27518943.55,555333.4276,203021.3695,890225.767,56386.32208,2010990.543,5733.124508,21072.1412,4231325.066,1788180.428,4085986.789,93474916.05,16194.45538,1228813.976,26922.64255,161414.5059,2778097.944,11888.47689,171444.6122,70715.94255,201551.602,1299287.548,86080.37977,702498.7865,378733.2747,128976.7147,223112.9273,26363.73525,36972.42528,29316.16151,95140.00837,115471.1247,70002.92482,3400.560024,127874.8673,193523.4374,124703.148,23266.99942,3913.71928,5083.983687,189518.2803,344886.4809,114686.0001,17594.87347,7551.588506,3273.769472,76754.23718,342735.2089,744500.5631,941318.0139,842858.2502,651062.0987,36032.70986,195172.3846,801180.1029,1290442.88,2923189.635,1614809.591,4799629.201,2044265.938,1048013.597,59540.86898,19558.91523,10491.10195,46897.62775,19215.26619,126394.6134,15218.79,16922.94078,9588.15759,9706.062031,1498.517547,3344.945423,2547.7094,1774.994895
PI48770_control,23356068.63,382577.4162,4042927.463,3194143.237,3125570.315,1546824.186,32932.80184,98161.53242,270099.7223,3462151.596,1184943.275,2856896.242,1031772.262,1790978.011,21688131.33,404216.4747,3355288.769,919932.2246,48123089.88,1568666.034,632192.4457,1673404.105,249284.4704,4266000.896,285.5206488,90730.72611,12932221.9,6088810.309,14487328.67,128606462.1,27680.37889,2622347.149,142409.465,314575.9234,9539111.348,66258.23836,451766.6507,256751.2149,562497.9418,5551634.162,9991.798919,530086.7366,282725.5549,126133.7642,190897.5014,8931.163652,45034.25176,38557.66023,28651.53782,33442.7258,18727.17951,12443.86178,46511.33192,17453.56235,28623.96458,11026.17567,5487.794163,26367.87862,98069.70144,357864.7981,178075.4642,26739.64867,16379.65412,4524.722864,44328.79857,324546.6378,723995.1342,962124.7869,1244214.737,777987.5605,21005.96287,25587.69471,152405.9199,315643.6624,447655.2993,1022443.547,3476070.457,1052764.631,429574.342,17536.84256,8239.930601,7778.01623,24397.04987,25842.35329,24907.64797,9502.705657,7128.224881,2835.382445,6539.42032,6138.353876,7630.12805,11174.39749,5259.56895
PI48770_lowinput,23609567.69,4222666.224,2503641.607,1965000.345,2015217.723,3189961.778,63393.90032,78870.92411,350611.7441,1504569.838,811752.4907,1486042.906,429436.3639,1138812.098,14796187.99,266144.6969,3303714.052,573779.4577,37701429.13,741126.4557,330651.0575,900800.2844,94709.42779,2868368.701,3874.440141,26656.72728,5868083.457,2255479.798,5653697.116,128988540.5,9085.552724,951137.4941,23611.72902,133515.4537,2503792.733,11233.9997,175066.2398,72371.23693,203329.3611,1355200.484,87442.68621,377093.6116,144857.3549,62280.3247,104089.4892,4954.035988,19899.15045,16035.64892,59285.84965,52260.35905,29733.51127,4097.228148,110916.8116,56345.51844,28112.01049,11076.17196,1782.143353,9904.866526,111781.4864,219054.3247,108803.1742,10469.16403,11108.58849,6729.850655,46114.8245,181414.8976,409069.3292,829935.485,1158739.842,959178.0579,14026.30983,83829.37958,305032.8458,705702.7399,1775688.144,1365488.751,5011588.72,2686610.606,1324414.171,108438.5514,10506.23799,7608.324298,28032.97291,23044.60444,142027.5052,16986.69413,8298.803428,5241.405152,4223.827531,3495.096387,6718.621467,8454.401327,2654.17541
PI533750_control,30585818.14,347560.9523,3040713.964,3162994.627,2867760.096,2238564.989,46069.23169,100504.6598,293887.0254,2959485.029,1242199.328,2745635.577,755532.87,1727481.761,21488998.07,376172.4611,3890661.59,852672.5161,48041711.15,1111562.632,735237.7954,1474208.962,290212.204,4183384.645,490.0187881,71024.69064,11503836.93,4229862.637,11652136.88,157979214.9,23267.43714,2520566.736,108878.2119,276507.7993,9498862.542,77047.04574,515495.9273,215135.1177,573206.6996,5460939.72,9697.216328,319728.8371,157757.202,77324.71718,113379.861,3891.481338,23450.53442,9150.288298,28864.86885,38426.01623,25202.9848,18923.66753,91608.62138,25088.64191,19410.34438,22920.43212,6852.305797,43113.66014,131642.2022,358147.3408,223906.9035,22742.57538,20677.95163,13231.66344,74856.72968,437716.3917,857217.8178,845974.3195,1200140.053,932546.3124,31897.91447,37166.24412,241058.8385,388516.5044,432768.7361,701996.3432,2840638.575,1019346.877,508559.2063,61296.31057,13012.42993,8796.060972,23009.30153,25921.05179,35163.7778,12702.58651,6480.874392,5725.697196,6280.111585,6237.41372,9144.652336,15900.01528,7900.870496
PI533750_lowinput,25272994.22,4687626.657,2812589.315,1958963.53,2234208.607,2664203.166,48489.69563,83233.35373,354727.7573,1997049.687,824139.4289,1396397.237,729487.8614,1477932.93,14727348.85,375456.1492,3087499.328,769008.9496,36128795.55,785183.8442,367263.124,1028524.923,107767.7364,3036941.349,4013.705531,39217.23876,7016472.003,3566729.552,7220985.809,140531902.2,19100.23723,1310570.692,40285.39104,169252.3578,3405842.254,22519.88805,225200.8142,104111.9185,258804.2977,1903730.357,-1896.00917,108269.5628,14152.05634,18967.98238,37320.69788,2120.969154,7988.445576,17732.1325,48596.40852,46489.91334,22315.16786,1431.197466,93450.91458,30313.25633,3367.303235,6416.026276,1031.477799,3782.412428,127729.3574,190611.8652,74772.73093,7912.044117,6204.689925,2440.704662,51444.22598,202342.9817,417783.6095,856873.8453,1056412.446,702692.8998,13122.01516,71875.14996,228027.3091,633307.7461,1593710.559,2196006.644,7880508.155,2878234.98,1161578.563,91383.34459,6025.274023,3116.550809,26606.73571,35976.03231,231890.0247,21596.62583,5347.95669,1758.578757,4602.407271,3577.169936,6114.837293,6181.730581,2299.247319
PI533752_control,25241781.83,217735.461,2599617.363,1763738.948,1632320.246,1720649.78,19337.78102,43574.16846,120931.2178,1253236.921,682593.4517,1641992.907,335721.7569,887081.6935,16651467.97,178995.3004,2483947.543,463937.8918,36876093.58,655661.8505,512448.8542,952758.7146,178270.5584,3238946.403,180.3220814,57538.0084,9206439.331,1985659.883,5016454.238,143325370.2,33478.22486,2822974.792,75180.21811,222255.1809,6979246.852,39030.84608,352007.1704,122859.1055,293299.9881,3496078.629,5436.743493,131221.367,88961.09511,32094.85851,50328.9208,2407.39308,24888.33304,9399.34855,12938.79007,19423.43017,12256.01756,4720.842125,60817.00665,11749.18336,8741.503517,6283.288535,2309.882087,7379.664174,61234.43579,136608.3448,101076.9396,7913.630471,6454.605231,6303.334311,33940.24685,188914.3404,473470.1337,357429.0802,651905.661,752514.0978,11061.81099,20994.60386,92840.4857,143368.8838,172647.0354,385292.7326,1734493.95,697480.9125,467363.7855,44340.38264,2900.836831,2487.306243,6490.582432,7753.136181,8730.897174,4725.948526,2138.162895,1366.616385,1551.616158,1465.151552,2332.871829,3940.488566,2032.407246
PI533752_lowinput,18803486.57,3712600.435,2303473.76,1376965.15,1641948.135,2784101.653,33724.7643,73457.17674,270275.8044,1364444.67,755993.2938,1469413.394,316506.9676,1004881.594,9570764.077,243492.9679,2608916.746,519417.8113,29014631.5,541141.8988,243334.4743,783729.1037,75020.93245,2144542.369,6487.891456,27452.91667,4137871.354,1803390.022,4176297.276,102023492.9,14329.17414,1098040.196,22674.42833,140450.7414,2430239.969,11268.82033,208385.1595,66529.68855,181677.8616,1205130.396,34712.95088,230893.7567,118917.04,45543.14809,72004.41315,6667.636119,16150.832,15594.12559,48526.35999,49031.02488,20713.4839,2144.274503,88055.31779,88107.71415,36228.97103,4173.743658,1006.328966,5327.440957,136502.0245,251255.2128,143171.9021,14630.14884,13628.05042,5395.873623,46485.75144,215857.3826,448578.1306,901984.828,1491149.559,1344297.788,15681.50214,104620.8325,341761.7477,761913.607,1984893.046,1543110.392,6898061.381,4104435.466,2002499.624,31518.69758,9782.794811,6345.245143,32850.30944,32619.72085,163801.048,34950.30096,7450.541894,4866.479606,5335.013533,4679.026772,5617.387494,7303.855401,6562.561846
