Lipids,Class,SubClass
TG(16:0/18:2/18:3),Glycerolipid,Triacylglycerol
TG(16:0/18:2/22:0),Glycerolipid,Triacylglycerol
TG(16:0/18:3/18:3),Glycerolipid,Triacylglycerol
TG(16:1/16:1/22:5),Glycerolipid,Triacylglycerol
TG(16:1/18:1/18:1),Glycerolipid,Triacylglycerol
TG(16:1/20:1/20:2),Glycerolipid,Triacylglycerol
TG(16:1/20:1/22:1),Glycerolipid,Triacylglycerol
TG(18:0/18:0/18:2),Glycerolipid,Triacylglycerol
TG(18:0/18:0/20:1),Glycerolipid,Triacylglycerol
TG(18:0/18:1/18:2),Glycerolipid,Triacylglycerol
TG(18:0/18:1/22:0),Glycerolipid,Triacylglycerol
TG(18:0/18:2/18:2),Glycerolipid,Triacylglycerol
TG(18:0/18:2/18:3),Glycerolipid,Triacylglycerol
TG(18:0/18:2/20:1),Glycerolipid,Triacylglycerol
TG(18:0/18:2/22:0),Glycerolipid,Triacylglycerol
TG(18:1/18:1/18:1),Glycerolipid,Triacylglycerol
TG(18:1/18:1/18:2),Glycerolipid,Triacylglycerol
TG(18:1/18:1/20:3),Glycerolipid,Triacylglycerol
TG(18:1/18:2/18:2),Glycerolipid,Triacylglycerol
TG(18:1/18:2/18:3),Glycerolipid,Triacylglycerol
TG(18:1/18:2/22:0),Glycerolipid,Triacylglycerol
TG(18:1/18:3/22:0),Glycerolipid,Triacylglycerol
TG(18:1/20:0/22:1),Glycerolipid,Triacylglycerol
TG(18:1/20:1/22:1),Glycerolipid,Triacylglycerol
TG(18:1/20:3/22:0),Glycerolipid,Triacylglycerol
TG(18:2/18:2/18:4),Glycerolipid,Triacylglycerol
TG(18:2/18:2/20:2),Glycerolipid,Triacylglycerol
TG(18:2/18:2/22:1),Glycerolipid,Triacylglycerol
TG(18:2/18:3/20:1),Glycerolipid,Triacylglycerol
TG(18:2/18:3/20:3),Glycerolipid,Triacylglycerol
TG(18:2/18:3/22:1),Glycerolipid,Triacylglycerol
TG(18:2/20:2/22:2),Glycerolipid,Triacylglycerol
TG(18:2/20:3/21:0),Glycerolipid,Triacylglycerol
TG(18:2/20:3/22:0),Glycerolipid,Triacylglycerol
TG(18:2/22:0/22:3),Glycerolipid,Triacylglycerol
TG(18:3/18:3/18:3),Glycerolipid,Triacylglycerol
TG(18:3/18:3/20:3),Glycerolipid,Triacylglycerol
TG(8:0/10:0/10:0),Glycerolipid,Triacylglycerol
TG(8:0/16:1/18:1),Glycerolipid,Triacylglycerol
