,(+)-Abscisic acid,(-)-Caryophyllene oxide,"(10E,15E)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid","(2R,6R)-2-methyl-6-tridecylpiperidine","(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-6,10,14,18-tetraene-1,2,3,22,23-pentol",.alpha.-Amyrin,.beta.-Amyrin,.beta.-Cryptoxanthin,.beta.-Sitosterol,"1,2,6,6,10,17,20-heptamethyl-17-[N-(2-methylphenyl)carbamoyl]-12-oxopentacyclo [12.8.0.0<2,11>.0<5,10>.0<15,20>]docos-13-en-7-yl acetate","1,2-dihydroxyheptadec-16-yn-4-yl acetate","1,9-Dideoxyforskolin","11,14,17-Eicosatrienoic acid,(Z,Z,Z)-","13-Keto-9Z,11E-octadecadienoic acid","14(15)-Epoxy-5Z,8Z,11Z-eicosatrienoic acid, methyl ester","16,16-Dimethylprostaglandin A1",19-Norandrosterone,"2,2'-Dithiobis(benzothiazole)",3-Epilupeol,3-Methoxylimaprost,3.10S-Hydroxypheophorbide a,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]","4,4-Dimethylcholest-8(9),24-dien-3.beta.-ol",4.alpha./.beta.-Hydroxyprostanozol,"5(6)-Epoxy-8Z,11Z,14Z-eicosatrienoic acid, methyl ester","5,7-Dimethoxy-3-hydroxyflavone",5.alpha.-Cholest-7-en-3.beta.-ol,7-Oxocholesterol,"8'-Apo-.beta.-carotenal, all-trans-","8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester","9,12-Octadecadiynoic Acid","9-Oxo-10(E),12(E)-octadecadienoic acid",Alloxanthin,Alpha-Carotene,Antheraxanthin,Arachidonoylthiophosphorylcholine,Austinoneol,Betulin,Boldenone cypionate,Celaxanthin,Cembrane_Diterpene_minus_Me,Chlorophyll a,"Cholesta-4,6-dien-3-one",Cholesterol,Cycloartenol acetate,"Di-.gamma.-linolenin(6c,9c,12c)",Diadinochrome,"Didodecyl 3,3'-thiodipropionate",Dipterocarpol,Docosapentaenamide,Empenthrin,Erythrodiol,Fucosterol,Ginsenoside F1,Glochidone,Hydroperoxy fatty acid (18:3),L-alpha-phosphatidyl choline,Lanosterol,Lupeol,Lutein,Lycopene,Medroxyprogesterone,NCGC00164361-03!decanedioic acid,"NCGC00179780-02_C20H32O_(5xi,9xi)-Beyer-15-en-18-ol","NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester,(9Z,12Z,15Z)-","NCGC00384683-01_C30H50O_Lup-20(29)-en-3-ol,(3alpha)-","NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate","NCGC00386020-01_C18H28O3_8-{(1S,5R)-4-Oxo-5-[(2Z)-2-penten-1-yl]-2-cyclopenten-1-yl}octanoic acid",Nandrolone,Nostoxanthin,Ophiobolin A,Oxo fatty acid (18:3),Palmitoyl ethanolamide,Panaxatriol,Pheophorbide A,Pheophytin a,Phytosphingosine,Pinolenic acid,Schaftoside,Sebacic acid,Stearoyl ethanolamide,Sumaresinolic acid,Tri-p-tolylamine,Ubidecarenone,Ubiquinone 9,Vitamin K1,Zeaxanthin,Zymosterol,[1-hexadecanoyloxy-3-phosphonooxypropan-2-yl]octadec-9-enoate,alpha-Tocopherol,beta-Carotene,beta-Zeacarotene,gamma-sitosterol,gibberellic acid,h_22_methandriol_m,"phenylmethyl(2S,3R)-3-hydroxy-2-[(phenylmethoxy)carbonylamino]butanoate"
PI656089,-0.249427874,-0.149659752,0.083370257,0.624888685,0.357881967,-0.337711872,-0.326859865,0.028303413,-0.225681684,-0.061692477,-0.230444028,0.14053248,-0.514390005,0.080812924,-0.042170765,0.062564151,0.110907203,0.075816499,0.084940636,-0.243936556,-0.142266203,0.376249084,-0.35180901,0.077109309,-0.047421828,0.009198383,-0.066791883,-0.196169569,-0.075216938,-0.046271199,0.08081296,0.108115073,-0.075281003,-0.109922611,-0.144185334,-0.040457914,1.051151085,-0.470601778,-0.053682382,-0.171048472,-0.294603944,-0.036392879,-0.197067095,-0.066791797,-0.322735141,-0.0383638,-0.096434684,0.823121215,-0.411031951,-0.546659216,0.051016408,-0.407864544,-0.229854836,0.164750713,-0.316482262,0.063924382,-0.128430131,-0.347035203,-0.34147889,-0.029990345,-0.090036731,0.010397311,-0.058163935,-0.499518565,0.097930786,-0.159987122,0.894343392,0.067570551,0.05130426,-0.001169545,0.157051161,0.0653989,0.103886463,0.357882032,-0.172423381,-0.017785688,0.07693599,0.093398502,-0.235022374,-0.046405579,0.488850547,0.379856051,-0.026562338,-0.162583513,-0.172719272,-0.095285951,-0.023032784,-0.24938899,-0.265580603,-0.202716919,-0.109922612,-0.128675566,-0.063245009,-0.062331854,-0.488752199,-0.03305547
PI656027,-0.342899623,-0.108675637,0.21665016,-0.045688964,0.419151822,-0.12042303,-0.135975345,-0.095243191,-0.228162222,-0.169878354,-0.262222729,-0.038260581,-0.436133176,0.227703869,-0.10021868,-0.107653933,-0.010420145,0.65853516,-0.657153185,-0.285100604,-0.202098204,-0.0420594,-0.319510512,0.239005373,-0.102585441,0.177595986,-0.312112812,-0.277969654,-0.24908708,-0.103356367,0.22770389,0.052117106,-0.151177758,-0.10345129,-0.093925299,0.140226803,-0.037841766,-0.458820953,-0.128675738,-0.175210585,-0.24328319,-0.073516985,-0.279379841,-0.312112732,-0.20287246,-0.092346934,-0.130362643,-0.218227733,-0.37973686,-0.483343614,0.164187991,-0.360219529,-0.295720445,0.225371617,-0.245990894,0.206307232,-0.010436795,-0.189005953,-0.128701213,-0.016890722,-0.083481973,-0.195898079,-0.100692336,-0.46151119,-0.126942379,-0.115366486,-0.078149835,0.187358475,0.164745849,-0.093747791,-0.038642009,0.186574345,-0.136426305,0.419151925,-0.178627863,-0.071499027,-0.256299331,-0.127333308,-0.08268077,-0.104887587,-0.175232956,0.455382224,0.050224878,-0.222232134,-0.239325188,-0.175961023,-0.009347791,-0.249085483,-0.212104004,-0.239944736,-0.103451232,-0.130320305,0.00647593,0.033399904,-0.429275813,-0.291206556
PI534101,-0.305175117,-0.05917372,-0.039776202,0.073841638,-0.069630545,-0.174285294,-0.144095667,-0.007736235,-0.044684992,0.02664168,-0.219412857,0.009815136,-0.424236547,0.069029509,-0.027285436,-0.105048697,-0.016436517,0.125276232,-0.69970325,-0.3323383,-0.213214881,-0.014027138,-0.186814647,-0.010561413,-0.028715933,0.475662686,-0.191282833,-0.325384168,-0.114087552,-0.028550691,0.069029484,0.00547045,-0.009365507,-0.050743655,-0.033376142,-0.098712415,-0.015795399,-0.417490344,-0.099858327,-0.098375932,-0.251927365,-0.032194394,-0.327139184,-0.191282714,-0.119972158,-0.020163725,-0.060947474,-0.127622463,-0.301002246,-0.448889606,-0.037250421,-0.23215172,-0.139495293,-0.084740479,0.075634242,-0.057951796,-0.063007412,-0.140280772,-0.172651363,0.009489276,-0.017938974,-0.07343656,-0.051571062,-0.420599828,0.043231905,-0.121020371,-0.047482269,-0.032087767,-0.037176517,-0.006630759,0.016748074,-0.034107831,-0.149307271,-0.069630515,-0.171612492,-0.00245536,0.052267484,0.047072761,-0.082123484,-0.026944898,-0.275272338,-0.069405452,0.049068201,-0.082932746,-0.14819382,-0.127079127,0.0148675,0.156225224,-0.311372837,-0.170526765,-0.050743629,-0.064537367,-0.13312074,0.058355136,-0.410261262,-0.22915879
PI533943,-0.267221144,-0.073164319,0.552594609,0.211747751,0.603727511,-0.00207984,-0.013906206,0.081422569,0.15319193,0.038772711,-0.179536845,0.267124346,0.190828965,0.718157778,0.01787235,0.116947901,0.232207554,0.196941783,-0.593510915,0.053855112,-0.092029262,0.040944036,0.161965888,0.431513787,0.025217701,0.788248918,0,-0.081662286,0.077659051,0.026313251,0.71815776,0.379752179,0.114428708,0.057010883,9.90E-04,0.07955925,0,7.42E-05,0.028776207,0.133637014,0.328596773,0.011677573,-0.08198721,0,-0.051622326,0.051121069,0.116089542,-0.145146584,-0.002153871,0.183943172,0.421794664,-0.035575866,0.115981579,0.416664868,0.028813982,0.531044018,0.223119716,-0.035545959,-0.00902768,0.079389266,0.138077168,0.079838894,0.048100714,0.152906244,0.141095637,-0.021822898,-0.030626884,0.473593177,0.420674781,0.202191567,0.234681085,0.470777001,-0.006390845,0.603727577,-0.100298148,0.017462973,0.016182968,0.18223162,-0.007969314,0.062036701,-0.038571415,0.507531343,0.111340028,0.013944185,-0.004590086,0.037916583,0.074618519,-0.215402514,0.163507025,-0.017262984,0.057010844,0.093503483,0.039351857,0.07679625,0.165682295,-0.261421107
PI597949,-0.314589802,-0.252948947,0.452453604,0.064677843,0.16787218,-0.062489805,-0.069414247,0.069069464,-0.044297596,-0.198788182,-0.144261097,0.128268419,-0.347154503,0.560382501,-0.005063722,0.095306042,0.186480853,0.717125323,-0.429078223,0.130666914,-0.153256325,-0.011371903,-0.159309734,0.608091551,-0.009341844,-0.114557853,-0.151258115,0.337930028,-0.017661108,-0.008495687,0.560382522,0.289282793,-0.009268839,0,0.005768827,0.104644709,-0.011166507,-0.400856655,0.024380703,-0.022443142,-0.189684277,0.012971533,0.338778341,-0.15125803,-0.106408223,5.97E-04,0.028880048,-0.135641592,-0.319922673,-0.379783357,0.41392111,-0.334460954,-0.078277797,0.004272124,-0.237508949,0.469740111,-0.022060285,-0.081670075,-0.070632117,0.040901968,0.060281558,0.13947445,0.112104351,-0.364876584,0.062474328,-0.099796194,-0.041099446,0.431839886,0.418164159,0.023156621,0.084483195,0.435443925,-0.021019029,0.167872261,-0.115921666,0.017900373,-0.06438336,0.107304004,0.027321397,0.069109603,0.055428001,0.128519726,0.087247289,-0.115908342,-0.05834625,-0.068593527,0.040617364,-0.240319026,0.317656705,-0.218152907,0,0.02002162,-0.039540076,0.085746217,-0.343028493,-0.208993408
PI595740,-0.249439425,-0.13487604,0.091563568,0.056541496,0.583974746,0.023647181,-0.025160418,0.03765701,-0.195213266,0.110398693,-0.119500312,0.057007262,-0.292629115,0.184548739,-0.017744464,0.024690175,0.112784857,0.573182085,-0.461111426,-0.264670867,-0.183015313,0.016013796,-0.208100162,0.220838774,-0.015118773,-0.13357345,-0.079514345,0.168093832,0.002760323,-0.014340878,0.184548716,0.127135857,0.014929842,0.005583299,-0.131056242,0.398147731,-0.011335578,-0.360455937,-0.071658588,-0.040549312,-0.132520204,0.008376841,0.168597646,-0.079514259,-0.12375756,-0.014527191,-0.033295425,0.059591896,-0.262082654,-0.32523756,0.1047215,-0.201004171,-0.132346329,0.378244081,-0.18690985,0.0967322,0.070643625,-0.037652591,0.00308939,0.01411641,0.063957469,-0.060498249,0.140673636,-0.297805827,0.064115952,-0.080686039,-0.037008135,0.105992597,0.105472703,0.064225201,0.051294406,0.107086154,-0.02077135,0.583974686,-0.086477244,-0.096337233,-0.023547443,0.074715795,-0.042069478,0.147347516,0.085833997,0.601918649,0.081519001,-0.128284385,-0.09954244,-0.058303734,0.010093673,-0.020471096,0.222165596,-0.211042506,0.005583345,0.023146464,-0.080930679,0.078712318,-0.280027245,-0.201785539
PI533792,-0.020815227,0.007530798,-0.083667123,-0.06314633,0.318074428,-0.100172897,-0.026537797,0.053174763,0.16005578,0.092429075,-0.070660552,-0.18789199,-0.238545611,-0.093559629,0.021668322,-0.046429742,0.003483593,0.077848399,-0.610169906,-0.381706914,-0.113869454,0.017303056,0.114959516,-0.118362099,0.022452453,-0.158705608,-0.137945634,-0.366523773,0.078429119,0.021328322,-0.093559649,-0.015235971,-0.016219723,0.047299619,0.111473816,0.136709577,-0.100042623,-0.050667265,0.055815483,0.063069467,-0.135782342,0.053301785,-0.368610285,-0.137945519,0.062333421,0.034515822,-0.029730643,-0.07342961,-0.059655707,-0.273642526,-0.12115064,0.219875284,0.055846118,0.193818307,0.133923225,-0.110056067,-0.136841811,-0.036527061,-0.071077325,0.139646471,-0.022981622,-0.051122997,0.190296509,-0.249724721,-0.100797175,-0.113284246,-0.124314,-0.102850738,-0.120539258,0.062640032,-0.067784512,-0.105826774,-0.316500732,0.318074448,-0.080908016,-0.058714571,0.123652474,-0.066541722,-0.022307388,0.198054083,-0.091583003,0.401297703,-0.024601863,-0.005667669,0.01373137,0.021813581,0.144407302,-0.223800194,-0.2546941,0.343261124,0.047299598,0.07931976,-0.170908469,-0.06401699,-0.228524567,0.433792428
PI595745,0.106512876,-0.043470634,-0.057681021,0.004440805,-0.076436933,-0.149940101,-0.111770295,0.015088751,0.047428569,-0.081811919,-0.016171417,-0.152507826,-0.18145289,-0.038833272,-0.01071498,-2.05E-04,0.076058191,0.07919845,-0.574864875,-0.217395822,-0.104542746,0.045734918,0.034772273,-0.109075469,-0.012003461,-0.183155702,0.156544843,-0.224289619,0.080884285,-0.011968749,-0.038833292,0.052973364,-0.02356608,0.007731114,0.085612675,0.19916178,-0.042307056,0.057714094,0.104725348,-0.012585719,-0.082878337,0.0076113,-0.225352542,0.15654496,-0.004445047,-0.004876881,0.002085032,-0.154413598,0.073069322,-0.205644656,-0.086652809,0.05824292,0.022424358,-0.119275406,0.019478763,-0.084768529,0.30568872,-0.091247527,-0.125453583,-0.012985836,0.080177093,0.038493765,0.273744057,-0.19658171,-0.023110332,-0.127369499,-0.061393818,-0.071387275,-0.086745242,-0.035536959,-0.080775089,-0.074787877,-0.103361748,-0.076436917,-0.132071228,-0.052673637,0.46218509,0.003396537,-0.12204546,0.283587776,-0.03273402,-0.035639155,0.040668886,0.089357893,0.024760621,-0.005809924,-0.023946342,0.181107454,-0.200865113,-0.035054586,0.007731204,0.040418855,-0.301863155,-0.029212484,-0.180256718,-0.258945752
PI656110,0.20639331,0.150153806,0.286631769,0.413197898,0.11287073,0.159572959,0.124994476,0.089190741,0.349348405,0.025471498,-0.025049307,-0.152581267,0.16364327,0.133082764,0.022625409,0.030658603,0.105682871,0.087210693,-0.551362073,-0.156566363,-0.085154882,0.02968108,0.550133789,0.340096616,0.033540658,0.052771215,0.189484717,-0.43909967,0.134500442,0.035229678,0.13308274,0.107841213,0.197079011,0.045987433,0.180528066,-0.155630449,0.031630402,0.365939486,0.225698951,0.286281092,0.282158577,0.025028311,-0.441854117,0.189484665,0.096709598,0.041553748,0.139378915,-0.122752015,0.235153621,0.138518359,0.245455006,0.286599491,0.419948465,0.142237559,0.381619973,0.284587901,0.128742215,0.080625409,0.144923104,0.315997421,0.131674537,0.160603915,0.285096112,0.195309315,0.149413891,0.196975947,9.62E-04,0.264322238,0.246227632,-0.001293848,-0.075734704,0.26446563,-0.012869649,0.112870722,-0.069622422,0.03293196,0.348373368,0.18664388,-0.065176826,0.296395332,-0.027131707,0.195650084,0.099233716,0.181877254,0.188762317,0.158430531,0.334207801,-0.174454949,0.163771094,0.096704497,0.045987517,0.093846057,-0.078448325,0.048659508,0.197479598,-0.269187848
PI655994,0.305197244,-0.064233018,-0.037315468,0.301936944,0.071460221,-0.245860235,-0.218212864,0.033679436,0.044458124,-0.047590664,-0.004034268,-0.144382351,-0.095516774,-0.007019176,-0.038122491,0.038121471,0.112508049,0.081862426,-0.37915715,-0.195365782,0.278326524,0.025458067,0.133090602,-0.059970981,-0.033983717,0.275317001,0.368093886,-0.27784859,0.10437878,-0.034059921,-0.007019232,0.087126755,-0.00629109,-0.02756003,0.050895907,0.103261489,-0.048838266,0.186293253,0.138162928,0.01362576,-0.067361267,-0.00396897,-0.279257946,0.368094066,-0.133981189,-0.020408936,-0.032182041,-0.130547551,0.167301784,-0.126908807,-0.046234147,0.156974811,0.118980597,0.13294537,0.40819021,-0.059508584,0.220842348,-0.196788071,-0.240628817,0.086012833,-0.051840299,0.061162408,0.30083824,-0.017987766,-0.032543049,-0.055606629,-0.065133374,-0.037815743,-0.046656521,-0.075250568,-0.036875926,-0.04074094,-0.233505892,0.071460211,0.037781807,0.084390593,0.076331963,-0.004417265,-0.170792437,0.31482631,-0.144713754,0.117601378,-0.004142861,0.075861934,0.106773267,0.047420265,0.088337922,-0.174865286,-0.264385496,0.110028937,-0.027560009,0.0132812,-0.234652809,-0.075418125,-0.025827841,-0.183113636
PI598069,-0.020554714,0.008401902,0.038614598,0.029633386,-0.060813912,-0.211197982,-0.146227829,-0.115804054,0.074070291,-0.17574487,0.139367061,-0.25834159,0.300720063,-0.057137749,-0.124613945,-0.048116814,0.017698973,0.085782313,-0.262197411,-0.289611258,0.14543493,0.022974261,0.09456363,0.164612967,-0.119394564,-0.185696972,-0.004161435,-0.577930033,0.031290909,-0.119368443,-0.057137768,-0.001932123,-0.108232306,-0.117233547,-0.053352543,0.187127466,-0.041169127,0.109771624,0.121781237,-0.140100874,0.524829645,-0.093398039,-0.58232371,-0.004161372,-0.011833752,-0.105966469,-0.079354608,-0.061003342,0.094374652,0.246869668,0.052999331,-0.033697152,0.032164064,-0.127489512,-0.015309202,0.042132898,0.184202357,-0.113338989,-0.178001638,0.020443635,-0.082736054,0.050793971,0.421369247,0.229289156,-0.108200311,0.115660604,-0.05632857,0.053667446,0.052270488,-0.207189048,-0.161096019,0.054650282,-0.257680325,-0.060813901,0.015470124,-0.018021478,-0.086862948,-0.073622125,-0.216013239,0.436150679,-0.075291378,-0.063551972,-0.003679111,-0.011307847,-0.064807188,-0.08202947,0.025137697,0.251957411,0.214969257,-0.10752016,-0.117233496,-0.114490737,-0.082440196,-0.088731013,0.282103324,-0.235596205
PI597950,0.136475765,-0.138028451,0.079291782,0.001328739,0.282147502,-0.296623935,-0.250736169,-0.012774408,-0.074804296,0.065025313,0.504409992,-0.011587637,0.45121266,0.133531366,0.003015246,0.085057131,0.165954499,0.132304455,-0.01072091,0.045847662,0.125510111,0.068398283,-0.056727615,0.099847613,0.003982826,0.387723449,-0.047486582,-0.218771354,0.18312226,0.005996615,0.133531343,0.153189101,0.033086712,-0.011617135,-0.0708166,-0.174693848,0.015773358,0.2812024,0.102060167,0.008689317,0.516069628,0.013328009,-0.219800898,-0.047486473,-0.146665087,0.014034316,0.023536629,0.024065576,0.301834342,0.462627724,0.047756994,0.067318921,0.002178059,0.126215279,-0.029033644,0.066292089,0.132799443,-0.230753342,-0.272601628,0.007651511,0.050311609,0.010638269,0.833101251,0.424848646,0.112121788,0.047113715,-0.008745646,0.0634126,0.046462414,-0.025697201,0.055485999,0.062198759,-0.223720386,0.282147492,-0.04996191,-0.055290535,0.617763402,0.14674087,-0.172479618,0.8640815,-0.03346546,0.085670258,0.011578038,0.05500653,0.090104854,0.033532578,9.27E-04,-0.158536435,-0.015248462,-0.104701828,-0.011617116,0.021565447,0.050945402,-0.022998199,0.422202688,-0.223242297
PI656114,0.139611288,0.084486248,0.250093825,0.188612675,0.394383253,0.079812055,0.055481521,-0.025615561,0.00638706,-0.193997039,0.618904581,-0.036048867,0.376473941,0.152589905,-0.063167665,9.70E-04,0.089064232,0.089713693,0.03759088,0.03548862,0.018921446,0.196471044,0.03897849,0.207264159,-0.059216371,-0.197440975,0.095812412,-0.645770755,0.09834095,-0.058682504,0.152589881,0.095550512,0.068760053,-0.071464495,0.135748424,-0.071377524,0.04023625,0.194197827,0.129273931,-0.029790577,0.530489682,-0.016419338,-0.651180354,0.095812498,0.031597068,-0.044924181,-9.41E-04,0.009605651,0.153340848,0.356184427,0.194361485,0.030264347,0.033981086,0.212057778,-0.088369215,0.232779994,0.183258574,0.026505161,0.08103503,-0.063830825,-7.21E-04,0.06597139,1.013702623,0.323176568,-0.001109955,0.090761672,0.011340161,0.218213531,0.192696193,-0.038871637,0.016699628,0.215978589,-0.035854458,0.394383305,-0.066954779,0.024813343,0.265141549,0.021451988,-0.082480923,1.007261649,3.55E-04,0.430664612,0.066933932,0.081957755,0,0.011233219,-0.072913586,0.066652649,0.204533691,-0.011747985,-0.071464449,-0.035199771,-0.023093997,-0.102624893,0.349576584,-0.250095164
PI542718,0.155486517,0.075956074,0.018572353,0.036259646,-0.059554358,-0.180310488,-0.112950799,0.077205906,0.150126145,0.139961047,0.489646671,0.011466444,0.143886034,0.019696209,-0.013470848,0.115850225,0.180223885,0.090973571,-0.062157801,-0.051495125,0.253818412,0.043527954,0.132395116,-0.019227886,-0.012876414,-0.216230299,0.134170649,-0.368111508,0.183140329,-0.012624523,0.019696211,0.145408578,-0.011445722,-0.01563637,0.020424674,-0.065415331,-0.009175889,-0.094271721,0.152391706,0.00984081,0.02468506,0.015030965,-0.370211376,0.134170767,0.061747517,-9.40E-04,0.028043272,0.0062545,-0.137887763,0.174963108,-0.027956483,0.093718399,0.086557785,-0.156365979,-0.09748778,-0.005956895,0.142313499,-0.067463344,-0.161202101,0.024600998,0.047860139,0.058324695,0.797895878,0.153779983,0.03610361,0.072035491,-0.060921767,-0.007094111,-0.028326666,0.08452566,0.137357534,-0.009697408,-0.182813765,-0.059554352,-0.072196392,-0.004666236,0.259158602,0.063232481,-0.16714759,0.821693552,-0.010902806,-0.048063588,-0.037473851,0.067732095,0.101859712,0.044510337,0.016047487,-0.039372985,-0.239101569,-0.045090064,-0.015636377,0.013034945,-0.089610738,-0.09166421,0.128070622,-0.199269029
PI533752,-0.208067244,-0.034929296,-0.093693714,-0.171112506,-0.059749964,-0.263793396,-0.170390344,-0.133135633,-0.064038829,-0.044435959,0.401947105,-0.123595353,-0.047404979,-0.080167647,-0.113963579,-0.084173723,-0.030671197,0.092263497,-0.116853389,-0.422951187,0.025839318,-0.00925779,-0.076641613,-0.144190773,-0.116216576,-0.077574644,-0.027427638,-0.94838106,0.022286655,-0.117435719,-0.080167666,-0.04845632,-0.192896447,-0.153814008,-0.117348459,0.043722443,-0.037644698,-0.193258778,-0.0475317,-0.194433725,0.036364594,-0.099316273,-0.960933913,-0.027427553,-0.009033124,-0.089868144,-0.100636286,0.006257668,-0.094926834,-0.075855557,-0.138384612,-0.0834768,-0.074572326,-0.088890905,0.092788343,-0.126352899,-0.135416726,-0.129403835,-0.235034183,-0.105912286,-0.126128817,-0.130298005,0.69057962,-0.06711156,-0.206393036,-0.027446425,-0.065954545,-0.118000191,-0.138922395,-0.075212103,-0.032230123,-0.121196327,-0.178844609,-0.059749956,-0.121486354,-0.119784551,0.129087585,-0.18677452,-0.174647211,0.695060124,-0.018014311,-0.086929165,-0.038013506,-0.031216628,-0.095954606,-0.118625498,-0.104781727,0.16092893,-0.236453575,-0.232532227,-0.15381399,-0.157877075,-0.212503124,-0.045208549,-0.046733646,-0.28284472
PI576375,-0.198645818,-0.253018971,-0.11395671,-0.208365937,-0.046758684,-0.328652767,-0.304115439,-0.151676804,-0.216356766,-0.227302404,0.14121909,-0.272989892,-0.067433644,-0.138461436,-0.281680134,-0.132337133,-0.09210165,0.105899861,-0.310601233,-0.429606714,-0.006117509,-0.016175969,-0.167217487,-0.158429664,-0.280908446,-0.193952391,-0.215099881,-1.141641414,-0.007117584,-0.280810968,-0.138461466,-0.110084555,-0.28891546,-0.186586866,-0.229337732,-0.188188058,-0.064290569,-0.225960868,-0.153485299,-0.26236885,-0.044897358,-0.099483525,-1.162313982,-0.215099798,-0.215630099,-0.26779291,-0.245570749,0.041253245,-0.173953504,-0.076434921,-0.176670062,-0.199553925,-0.210665456,-0.157729126,-0.131924502,-0.148287223,-0.159429695,-0.283669366,-0.323221394,-0.141657924,-0.171313993,-0.21163782,0.46362654,-0.078105768,-0.24514894,-0.239045256,-0.071872575,-0.149908945,-0.176977478,-0.245114878,-0.19373456,-0.152777225,-0.263980106,-0.046758684,-0.148529968,-0.125188641,-0.027281556,-0.233279152,-0.243351848,0.481027207,-0.006290495,-0.013327793,-0.179260959,-0.235053607,-0.184382547,-0.182074483,-0.152100274,-0.160817566,-0.248192956,-0.235414322,-0.186586812,-0.208140003,-0.290773523,-0.139410171,-0.072051394,-0.271413313
PI533957,-0.085802415,-0.215695175,-0.040066034,0.039209143,-0.009928734,-0.224008381,-0.141859826,0.037276133,-0.05039344,0.042795887,0.309837353,-0.107295029,0.469671949,0.005005943,-0.056097262,-0.020631595,0.047321667,0.094796414,-0.226487859,-0.244181273,0.031558692,-0.001126844,0.002430963,-0.067849935,-0.054948027,-0.179359745,-0.191589304,-1.112171348,0.058231137,-0.054328755,0.005005918,0.030818617,-0.065443516,-0.059753795,-0.104506137,-0.034327221,-0.014958222,-0.203745532,-0.022604359,-0.126342028,0.537650016,0.007643568,-1.13134939,-0.191589208,-0.023887994,-0.044933896,-0.132712225,0.062698986,-0.153270811,0.477857828,-0.087983787,-0.140152839,0.013604001,-0.125988449,-0.117010402,-0.06905023,0.157434282,-0.1301091,-0.206063751,-0.033258406,-0.131973203,-0.099466429,0.620055287,0.452148418,0.042814795,-0.240437967,-0.029833619,-0.066560027,-0.08902245,-0.041421503,-0.0117964,-0.069059693,-0.149811201,-0.00992874,-0.1108725,-0.073220412,0.110947812,0.043998543,-0.230429837,0.628642136,0.037188832,-0.09598088,-0.021635524,-0.063378745,-0.073543416,-0.034177514,-0.04554477,-0.150824501,-0.215508953,-0.184375307,-0.059753806,-0.149815863,-0.041536823,-0.069150974,0.449077493,-0.236499097
PI533962,-0.188197918,0.127174884,0.138789778,-0.086953131,-0.045045069,-0.207784065,-0.156223173,0.059956828,0.10226784,0.093264897,0.378325772,0.015703807,0.051650384,0.206059715,0.013722757,4.06E-04,0.081661155,0.59330652,-0.032948679,0.143604722,0.125591665,0.503147537,0.141930883,0.363168528,0.010601645,0.294218457,0.087331595,-0.66658162,0.066571168,0.012289847,0.206059648,0.101441378,-0.002023691,-0.018551794,0.011716733,-0.116052392,0.037171382,-0.013386024,0.02181628,-0.001813026,0.146492804,0.025315973,-0.672336605,0.087331751,-0.021577349,0.024470679,0.067424531,1.632905807,0.163679647,0.02747453,0.151661491,-0.021114133,0.091044578,-0.148850543,-0.106384328,0.160559613,0.044645484,-0.125890793,-0.178475115,-0.00420628,-0.122669519,-0.01773723,0.688014125,0.027023542,0.1682652,0.088966479,0.008843899,0.152638901,0.149556865,0.045022811,0.059889524,0.157316003,0.206077449,-0.045045072,-0.044405266,-0.004748312,0.440142931,0.216602202,-0.270463724,0.705818581,0.717874856,-0.027516043,0.029997188,0.076404033,0.094686929,0.013757727,-0.010848094,0.011927342,-0.189913507,-0.080234939,-0.018551802,0.021763361,-2.04E-04,0.006490711,0.046441593,-0.213573553
PI655998,0.07763711,0.125226033,0.584445826,0.028811248,-0.02895854,-0.133939492,-0.109127396,0.226638165,-0.057967342,-0.070420197,0.350204305,0.18363387,0.004086457,0.232768894,-0.015915185,0.248028868,0.335572834,0.143571907,0.024137347,-0.219148005,0.875845351,0.06612864,0.034982986,0.429915623,-0.011721523,0.037908466,-0.050784016,-1.185406512,0.130023772,-0.011948096,0.232768915,0.309661873,0.216072956,0.056406256,0.096174478,-0.074168114,0.017214175,0.178857159,0.167405855,0.16214345,0.005788115,0.061207107,-1.208505222,-0.050783932,-0.001547971,0.002429969,0.091295614,0.155390744,0.280505225,-0.014133609,0.474455085,0.106298094,0.05667495,-0.039152144,0.166309361,0.558325153,0.13260812,-0.082279034,-0.119783617,0.144912159,0.050714407,0.296216372,0.650280265,-0.003032182,0.071081293,0.114477899,-0.007635596,0.518008975,0.4760123,0.035808593,0.22709582,0.514255209,-0.054168492,-0.028958536,0.327297151,0.066019634,0.377871807,-0.002382192,0.035942743,0.673264627,0.157068076,-0.052634973,0.006248581,0.118061554,0.138883405,0.20480625,0.146566776,0.382926613,-0.217030083,0.047972623,0.056406353,0.100290889,-0.177462707,-0.045380108,0.007334177,-0.205502483
