,AEG(o-30:2),AEG(o-32:2),AEG(o-32:3),AEG(o-34:4),AEG(o-34:5),AEG(o-36:6),Cer(24:1),DG(16:0),DG(18:3),DG(20:1),DG(24:0),DG(34:1),DG(34:2),DG(34:3),DG(34:4),DG(36:2),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DG(38:3),DGDG(34:1),DGDG(34:2),DGDG(34:3),DGDG(36:2),DGDG(36:3),DGDG(36:5),DGDG(36:6),DGTS(34:5),FA(18:4),FA(22:0) amide,FA(22:1),FA(22:1) amide,GalCer(d36:3),GalCer(d38:3),LPC(16:0),LPC(18:3),LPE(16:0),MG(12:0),MG(16:0),MG(18:1),MG(18:2),MG(18:3),MG(20:4),MGDG(34:1),MGDG(34:3),MGDG(36:4),MGDG(36:5),MGDG(36:6),PA(34:2),PC(18:2),PC(18:3),PC(32:0),PC(32:2),PC(32:3),PC(33:2),PC(33:3),PC(34:0),PC(34:1),PC(34:2),PC(34:3),PC(35:3),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(36:6),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(38:6),PC(42:2),PE(16:0),PE(18:2),PE(24:0),PE(34:0),PE(34:1),PE(34:2),PE(34:3),PE(36:2),PE(36:3),PE(36:4),PE(36:5),PE(36:6),PG(16:0),PG(34:1),PS(36:2),SQDG(30:0),SQDG(32:0),SQDG(34:1),SQDG(34:2),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:4),SQDG(36:5),SQDG(36:6),TG(24:0),TG(28:0),TG(30:0),TG(34:0),TG(36:0),TG(38:0),TG(40:0),TG(42:0),TG(42:1),TG(44:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(46:3),TG(48:0),TG(48:1),TG(48:2),TG(48:3),TG(48:4),TG(48:5),TG(50:1),TG(50:2),TG(50:3),TG(50:4),TG(50:5),TG(50:6),TG(52:1),TG(52:2),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(52:7),TG(54:1),TG(54:2),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:7),TG(54:8),TG(54:9),TG(56:1),TG(56:2),TG(56:3),TG(56:4),TG(56:5),TG(56:6),TG(56:8),TG(56:9),TG(58:1),TG(58:2),TG(58:3),TG(58:4),TG(58:5),TG(58:6),TG(60:4),TG(60:5),TG(60:6)
PI656038,-0.171312291,0.003738215,-0.013771246,0.101717415,-0.040055504,0.145393161,-0.205968391,-0.31376434,0.028426091,0.045539922,0.033476916,0.070652913,0.170938488,0.050420249,0.1102114,0.156470783,0.063791894,0.192808176,0.088415757,-0.042821981,-0.082852581,0.095048252,0.078435383,0.063944805,0.118466683,0.05094116,0.043497914,0.012758342,-0.070049654,0.12745638,0.748922283,-0.218362387,-0.091408533,0.031265943,0.050240256,0.003131138,-0.304728781,0.124095986,0.052960178,0.119763304,0.06398019,0.178905553,0.019535562,0.438646564,-0.265796956,0.15242583,0.208246508,0.156131828,0.015065037,0.192052836,-0.090466284,-0.119863444,-2.77E-04,0.075294603,-0.072038654,0.017783904,-0.036706934,0.007000614,-0.056921809,0.017056941,-0.191880038,-0.126132251,0.098614546,-0.003073735,-0.12007861,-0.164509992,-0.025649352,-0.115150939,0.012487593,-0.105068428,0,0.073637943,0.063735482,-0.085657719,0.124095937,-0.085253239,0.040045058,0.011385193,-0.017609878,0.021239911,-0.067920377,0.013996489,-0.070589851,-0.024486985,-0.115141627,-0.096649667,-0.038318401,-0.060585129,-0.159075229,0.049115547,-0.012545932,0.102077018,0.135995343,0.074287517,0.128710026,0.077001605,0.124870802,0.094168344,0.097870431,-0.172142233,-0.164299331,-0.263368181,-0.236242876,-0.054233621,-0.162436247,-0.073820189,-0.073272473,-0.153657595,-0.02454145,-0.181056857,0.027157967,0.018298141,0.103381655,0.274582089,0.016519689,0.12122278,0.168784618,-0.065467214,0.095350825,0.114740709,0.007546509,0.158935791,0.152247634,-0.030619729,0.091743676,-0.129173587,0.033751305,0.073837968,0.113497069,0.104060667,0.037084961,-0.040073687,-0.160821337,0.091598473,0.188614579,0.109183889,0.098798252,0.068931431,0.028380267,-0.044477832,-0.14613725,-0.177446926,-0.075942042,0.235488702,0.353132706,0.403059214,0.151277434,0.035240102,0.065665556,-0.208069779,0.445036739,0.276935208,0.5098864,0.455647638,0.594571589,0.400590478,0.573827184,0.460626966,0.484639684
PI576422,0.345295088,-0.264675294,-0.270312562,-0.280706937,-0.315484396,-0.525746535,-0.276644584,-0.277847917,-0.180089024,-0.005730568,-0.06702188,-0.197012323,-0.172451589,-0.098423047,-0.151417061,-0.137248087,-0.199371434,-0.170022658,-0.153052815,-0.164352172,-0.175411662,-0.199212116,-0.215494875,-0.212055193,-0.208335346,-0.1969408,-0.17955171,-0.163046109,0.507193668,-0.148806939,1.168509085,-0.014497998,0.106662872,-0.183038882,-0.162942487,-0.137441963,-0.316870507,-0.0847415,-0.189215553,-0.243355136,-0.059654264,-0.197192175,-0.187420986,0.151099375,-0.272325886,-0.214178242,-0.222200363,-0.198130721,-0.194265033,-0.263969505,-0.245179762,-0.229108119,-0.312056992,-0.203741839,-0.287678268,-0.273472081,-0.290948178,-0.241876704,-0.271604833,-0.238634992,-0.206278224,-0.157710053,-0.201684212,-0.23624596,-0.262440099,-0.305566103,-0.288493071,-0.217590856,-0.20332519,-0.149461453,-0.27456373,-0.303386128,-0.14905967,-0.178608543,-0.084741502,-0.176007282,-0.211031509,-0.196069632,-0.291919746,-0.288475446,-0.245358365,-0.229425365,-0.275580489,-0.299787838,-0.304091309,-0.142686629,-0.282910847,-0.293168838,-0.340733061,-0.076139732,-0.20030011,-0.193272327,-0.130734741,-0.189899054,-0.257732868,-0.157795692,-0.22878544,-0.183513481,-0.166372069,-0.229423724,-0.162743126,-0.298889968,-0.248980661,-0.042825145,-0.123220551,-0.147951826,-0.133535501,-0.022066138,-0.116818775,0.030101832,-0.066116678,0.059117292,-0.060603825,-0.080072073,-0.088867761,-0.009350319,0.020773016,-0.115469834,-0.155774487,-0.148848947,-0.136217051,-0.12597779,-0.117606203,-0.220670408,-0.176029773,-0.186108073,-0.130783816,-0.128234601,-0.118854881,-0.196257804,-0.211768461,-0.192858296,-0.15160893,-0.119148416,0.006993454,0.051117166,-0.08986768,-0.13716699,-0.198535716,-0.212693396,-0.194815647,-0.161170717,-0.188949542,-0.070727902,0,-0.05083636,-0.299783266,-0.262267729,-0.20072417,-0.222938626,0.043743836,-0.005072671,-0.040296916,-0.1041749,-0.109072105,-0.159816965,-0.083502357,-0.205902644,-0.108546616
PI533876,-0.16715328,0.00656549,-0.001922967,-0.016607773,-0.09018132,-0.115985536,-0.272052347,-0.332531487,-0.060826701,0.025477428,0.018009551,-0.014011719,0.03571472,0.072944566,-0.152237333,0.023885902,-0.0020943,0.052797158,0.034786686,-0.009527524,-0.02406433,-0.029539782,0.096615499,-0.03885681,0.037109028,-0.004390723,0.047832382,-0.049099995,0.116819433,-0.005725884,0.932758025,-0.248131798,-0.171351923,-0.044109463,0.029885494,0.057366319,-0.211737506,0.212647751,-0.021521176,0.010230574,0.002798643,0.037860627,-0.071846209,-0.150663223,0.035226493,0.030889316,0.062354283,0.063716482,-0.074645301,-0.050212891,-0.068216899,0.340618354,0.220363416,0.492815107,0.206788856,0.236613507,0.336732269,0.215869604,0.215831778,0.213360794,0.331360748,0.42914424,0.053224229,0.27876729,0.183552355,0.277040876,0.282798895,0.321509404,0.059729473,0.114369552,0.273214179,0.183531872,0.469365379,0.171073034,0.21264775,-0.001123561,-0.005181207,0.169079347,0.171016104,0.182163514,0.216312303,0.06693831,0.35134742,0.177558005,0.215769083,0.287004887,-0.04249683,-0.028968621,0.25989464,0.007836285,-0.05031443,-0.114558495,0.039583392,-0.081426882,0.001094854,-0.073315923,-0.058173543,-0.024393993,-0.086165856,-0.243926097,-0.205305327,-0.238493948,-0.230554191,-0.098081639,-0.174883633,-0.146999445,-0.133588131,-0.252929449,-0.221054969,-0.05663929,0.034964459,0.014891962,0.072144389,-0.007716466,9.00E-04,0.101495858,0.018614245,-0.142627239,-0.161915797,-0.11543934,0.012722144,0.122306899,0.138003242,-0.138404546,0.179000635,0.156180458,-0.063632166,0.031226298,0.069524438,0.082273819,0.095196682,0.093846394,0.168128253,-0.144029112,0.122671015,0.150428312,0.046567648,0.06624354,0.023580058,0.064832043,0.050817522,0.023259822,-0.156028012,0.007254148,0.205364412,0.111827469,-0.070387446,0.007885325,0.072125218,0.049155575,-0.068276174,-0.175683246,-0.052743174,-0.011034791,-0.03344341,-0.073084851,-0.021122934,-0.038451441,-0.026460541
PI656005,0.602001041,-0.141567307,-0.177582869,-0.094027636,-0.066310397,0.2491749,-0.227499925,-0.241844836,-0.097338445,0.047251467,0.025366141,-0.050363126,-0.124269947,-0.091207773,-0.104182862,-0.110850582,-0.122595831,-0.090652377,-0.074615909,-0.046334313,-0.124375124,-0.123729215,-0.134991514,-0.121259404,-0.136757999,-0.133068479,-0.098244457,-0.075896084,0.015850792,-0.100460953,0.91730591,-0.316549196,-0.19391656,-0.078840787,-0.070698929,-0.07578603,-0.317260434,0.024459142,-0.054876605,-0.130269708,0.009661632,-0.14150557,-0.108622398,-0.09775886,-0.253213343,-0.145673546,-0.122852823,-0.090964049,-0.112977443,-0.260260329,-0.205132312,-0.247342075,-0.283464948,-0.17714761,-0.256841144,-0.235123319,-0.263005516,-0.200779946,-0.191985771,-0.198129405,-0.217296564,-0.144229362,-0.007271071,-0.208283039,-0.250082145,-0.261541787,-0.264133326,-0.227364477,0.500741876,0.230830843,-0.244855705,-0.140415487,-0.092031688,-0.19707123,0.02445915,-0.161097137,-0.032417221,-0.112585819,-0.243732808,-0.223640559,-0.228436771,-0.138826346,-0.252902246,-0.260420388,-0.282849982,-0.157057372,-0.224285216,-0.253698967,-0.312496787,0.072276575,-0.084137657,-0.11513391,-0.101013133,-0.129182274,-0.247671321,-0.106753295,-0.115143371,-0.122882095,-0.104977792,-0.206327315,-0.174668748,-0.287531377,-0.200287429,-0.063218468,-0.133622956,-0.106804352,-0.102569265,-0.057602925,-0.087024499,0.165006389,-0.030011014,0.006709557,0.126049717,-0.138043351,-0.060587382,-0.005922678,-0.070481597,-0.035146959,-0.1210578,-0.151577097,-0.099882592,-0.096536759,-0.134925806,-0.167525419,-0.176266884,-0.179373512,-0.116334951,-0.099228515,-0.086576784,-0.167396493,-0.191896677,-0.156280145,-0.156764458,-0.068704091,0.019409653,0.060907424,-0.043330817,-0.092592292,-0.121185703,-0.076924177,-0.092188486,-0.065384759,-0.164664669,-0.187794631,-0.185415441,0.100747295,0.071538673,-0.137460843,-0.066978948,-0.072292887,0.05623912,0.012177593,0.059513218,-0.014819844,-0.147527548,-0.196169913,-0.071181134,-0.272562298,-0.166437841
PI534148,-0.219724845,0.108608011,-0.125627358,0.019803786,0.020815994,0.108248361,-0.19341762,-0.37061869,-0.019832256,0.006404244,4.18E-04,0.086626446,0.161245837,-0.052440904,0.041443218,0.177745341,0.129699463,0.203347013,-0.037984689,-0.152817841,0.098891523,0.250919942,0.182453118,0.006635063,0.271400244,-0.016546142,0.121752975,-0.035197389,0.081509039,0.202703737,0.508960568,-0.275477433,-0.15581659,0.058391821,0.060764983,0.242815112,-0.312125336,0.390858263,-0.005965996,0.101552075,0.00696657,0.163720403,-0.027487787,-0.175373664,0.191966426,0.097892811,0.297359321,0.168066225,-0.028430649,0.108502695,0.120152785,-0.231052202,-0.050342155,0.215496391,-0.128791935,0.088342018,-0.106427745,0.06041899,-0.025748917,0.063513949,-0.145405513,-0.070277673,-0.117492172,0.09852367,-0.059484381,0.056910695,-0.202428131,-0.224529116,-0.141943719,0.166107727,0.21479757,-0.065038013,0.291601859,0.340383999,0.390858261,0.242257138,-0.011103028,0.018218002,0.055340826,0.042330573,-0.119927477,-0.028659634,0.026903985,0.002109502,-0.166119182,-0.18027868,0.064578166,0.108448126,0.081949439,-0.074692079,-0.058889968,0.153838419,0.085796468,-0.049986778,0.115808703,-0.056080423,0.081354204,0.017201884,0.016246853,-0.336750397,-0.244647757,-0.301098467,-0.224599318,-0.042384075,-0.162414743,-0.11490976,-0.126025961,-0.04967413,-0.101361645,-0.116539699,-0.055033846,-0.018072041,0.031933889,-0.113432442,-0.075381183,-0.01701687,-0.020117315,-0.101041659,-0.033392573,-0.064909439,-0.041384385,0.095710771,0.052312341,-0.014234743,-0.056706113,-0.210037527,-0.032065597,0.027176305,0.167414158,0.112561184,-0.050354279,-0.203594204,-0.244954636,0.075023336,0.0679167,0.078616699,0.129899426,0.079104096,0.047315022,-0.111307305,-0.251664549,-0.288181654,-0.022177368,0.141559225,0.241309641,0.409901773,0.134463198,0.065868816,-0.081493887,-0.307675288,0.245621455,0.226187202,0.388418851,0.376975216,0.3174361,-0.011061643,0.442605681,0.174874929,0.086519711
PI533821,-0.218593486,-0.172843726,-0.192741728,-0.175308718,-0.244217001,-0.564789635,-0.256026669,-0.353200968,-0.146937862,0.049758961,-0.0015835,-0.121183571,-0.156603252,-0.196824582,-0.169600031,-0.075882082,-0.08987915,-0.086315511,-0.138884854,-0.184300527,0.134479197,-0.114688515,-0.131580423,-0.159256964,-0.116905625,-0.146457612,-0.139554422,-0.151861165,0.246055271,-0.07724164,0.57352311,-0.318651514,-0.19229252,-0.159562916,-0.147594282,-0.097747364,-0.300385685,0.038220814,-0.105791085,-0.161861251,0.007922531,-0.174440998,-0.151900158,-0.1810155,-0.109409599,-0.147299058,-0.103934571,-0.114322072,-0.156006623,-0.074086991,-0.234663308,-0.226996691,-0.211483549,-0.128357976,-0.256089524,-0.138378201,-0.237337429,-0.155239089,-0.147223797,-0.152231599,-0.221490176,-0.219264771,-0.086592356,-0.163783146,-0.170428566,-0.206377477,-0.262310558,-0.211727403,-0.209707446,-0.15593599,-0.117094096,-0.162028322,-0.004222526,0.12085488,0.038220819,-0.047793877,-0.134866165,-0.029872171,-0.186069251,-0.197145794,-0.196480683,-0.169047411,-0.22913234,-0.2118057,-0.251962722,-0.177332271,-0.192383725,-0.185626,-0.286758666,-0.099809075,-0.168337489,-0.124196774,-0.081607922,-0.153760682,-0.186971783,-0.127194343,-0.109519136,-0.120021328,-0.104712879,-0.344115306,-0.231392175,-0.128259729,-0.087506898,0.073566936,0,-0.049832696,-0.022380299,0.293944987,0.060241807,0.440886398,0.12318752,0.185128188,0.375728391,0.039617783,0.05251964,0.188102409,0.268057163,-0.067197022,0.171468058,0.016656587,0.200722011,0.233620525,0.134561893,0.036181692,0.043332809,-0.173410312,0.054067721,0.163573819,0.258032912,0.073959758,-0.053883713,-0.124568261,-0.15431567,0.210449142,0.140630513,0.168103398,0.175522082,0.127572627,0.020359653,-0.079905242,-0.170366125,-0.217954166,-0.110208124,0.032032942,0.129841357,0.354999861,-0.034288549,0.022673825,0.029262622,-0.288416761,0.50957528,0.16848108,0.39373611,0.255093825,0.205738925,-0.124277379,0.247276507,0.113341842,0.152824333
PI656026,-0.209113561,-0.277195358,-0.313999981,-0.289090805,-0.319797989,-0.595541951,-0.255899629,-0.418363089,-0.311296336,0.025708035,-0.053675717,-0.199617048,-0.255834299,-0.268913554,-0.204273139,-0.227752781,-0.281188053,-0.2202913,-0.282817432,-0.280300251,-0.225177959,-0.2238667,-0.250989368,-0.278374868,-0.250110439,-0.269611992,-0.22537099,-0.288154678,0.202487461,-0.156026481,0.673021139,-0.334786829,-0.194031748,-0.315960106,-0.28299216,-0.194917633,-0.364432558,-0.049916724,-0.19054375,-0.268331246,-0.036961759,-0.303565803,-0.30956163,-0.140113326,-0.292932779,-0.250993778,-0.248033953,-0.234364384,-0.33225207,-0.302105915,-0.246410202,-0.288223317,-0.288012517,-0.165919853,-0.327892817,-0.256723243,-0.290673246,-0.225608081,-0.25187019,-0.223955244,-0.272580337,-0.234188514,-0.155366748,-0.240826638,-0.30988984,-0.277594405,-0.339966222,-0.277985665,-0.238042833,-0.194621881,-0.220361152,-0.249862944,-0.06690665,-0.148950664,-0.049916742,-0.180670153,-0.198971826,-0.08104783,-0.273691965,-0.283018313,-0.29038163,-0.323124527,-0.279667095,-0.292954901,-0.343043478,-0.249026058,-0.277983565,-0.28427931,-0.299596436,-0.229886117,-0.258023662,-0.209958646,-0.191269707,-0.243333392,-0.247723277,-0.217655325,-0.233956834,-0.198138733,-0.215019611,-0.427057334,-0.349310688,-0.366616581,-0.337946883,-0.188333782,-0.328142253,-0.338504907,-0.269613428,-0.120893567,-0.26704553,-0.052437553,-0.135046879,-0.154220765,-0.110023291,-0.10170479,-0.169002841,-0.154514226,-0.200483584,-0.124489922,-0.123231425,-0.203995486,-0.203158944,-0.181194975,-0.279835935,-0.24764778,-0.289425639,-0.287702501,-0.165252713,-0.184678944,-0.13427329,-0.239424047,-0.304067379,-0.316996181,-0.274626522,-0.069064094,-0.088006718,-0.070683896,-0.154879311,-0.166067099,-0.211213729,-0.252129903,-0.30117779,-0.293550102,-0.140931239,-0.158471574,-0.218857137,-0.119874267,-0.340827016,-0.297369372,-0.269882851,-0.335111078,-0.076242005,-0.250756809,-0.088569408,-0.103858374,-0.223330008,-0.258669263,-0.198049835,-0.352050922,-0.270412924
PI561472,-0.21233745,0.069581774,0.023547325,0.062884481,0.059915635,-0.247711983,0.135457861,-0.461877939,0.004295466,-0.016186764,-0.006421159,0.01612838,0.037940112,-0.133766665,0.099214392,0.001176232,0.076809553,0.144601456,-0.033063575,-1.39E-04,0.312571198,0.024125435,-0.044921223,0.012074924,-0.043943535,-0.014148947,-0.017961096,0.017953686,0.053434759,0.138614688,0.209420787,-0.186513344,-0.067365548,-0.0383185,-0.052475757,0.091863075,-0.032291395,0.224463632,-0.021979367,0.032545492,-0.003792458,0.02874557,0.005751129,-0.129020041,0.063514861,0.039323482,0.068480204,0.064549944,-0.006101715,-0.018413238,0.227800455,-0.155361092,0.019815636,-0.120372675,-0.177764274,0.073100676,0.229420494,0.16610713,0.053226963,0.167797276,-0.088524382,-0.06019419,-0.018539454,0.181949116,0.0686327,0.021624751,-0.048700783,-0.138449834,-0.078056418,0.135206547,0.129144766,0.02395066,0.516941712,0.010260332,0.224463627,0.232029003,-0.022680976,-0.087671646,0.15517237,0.069819646,-0.091102899,-0.018360049,0.206185887,0.114033455,-0.040142378,-0.126128992,0.117762592,0.053546071,0.132574914,-0.140316898,0.015445702,0.140557811,0.031966911,0.029718383,0.017368976,0.043776632,0.128763692,0.077450696,0.082409489,-0.482375889,-0.506463633,-0.563049219,-0.552283941,-0.268925878,-0.511326936,-0.371783151,-0.374431661,-0.248777122,-0.305833125,-0.148535058,-0.141686196,-0.037559734,-0.01155669,0.195512389,-0.154202165,-0.092910309,-0.146427221,-0.011243734,0.086180349,0.41799143,-0.124961789,-0.049705168,-0.137752305,0.023857797,0.118165861,-0.021944741,-0.116755098,-0.089025786,0.082078836,0.115571631,0.004197635,-0.158390496,0.024058078,-0.115698558,0.102212553,0.064900854,0.134912324,0.171563733,0.2766236,0.145605417,-0.043038473,-0.181845967,-0.246137253,-0.081950317,-0.157728056,0.0960232,0.090830232,0.237186129,0.135077089,-0.017728649,-0.085215383,-0.255327536,-0.089996255,-0.066101251,-0.252349427,-0.267483662,-0.181415906,-0.359992259,-0.257449964
PI655974,-0.212213418,0.096303466,0.042917905,0.097166272,0.067906072,-0.463548404,0.164601202,-0.475020626,-0.005656335,0.041070327,0.029600968,0.047120266,0.144390711,0.041363307,0.065339078,0.041722993,0.023607334,0.147883465,0.075402926,0.100542711,-0.02327369,0.123347084,0.063144978,0.080359728,0.011458128,-0.017468696,-0.013965414,-0.012062373,0.056991578,0.1726714,0.204317755,-0.023855834,5.02E-04,0.046371237,0.068854652,0.227336013,0.092999479,0.389606082,0.049474867,0.128548908,0.047316641,0.04294458,4.71E-04,-0.012144618,0.060188073,0.138085902,0.047076503,0.027953885,-0.013234402,0.138434845,0.278610819,0.106823961,-0.001309054,0.266621146,0.077674064,0.169479214,0.136865431,0.229935294,0.19002283,0.228487665,0.17832937,0.018960409,0.074373951,0.162550019,0.08886315,0.265238794,0.12913741,0.095905038,-0.036796177,0.01364588,0.229633883,0.101163605,0.309949789,0.317876909,0.389606024,0.249533485,0.031923548,0.078698945,0.157920408,0.158313002,0.094923476,0.008894008,0.112717249,0.154850427,0.076000338,0.01733512,0.076515781,0.040604967,0.115266254,0.165942196,0.107810021,0.152662538,0.081646494,0.0752836,0.182667494,-0.007890602,0.042649704,0.016715431,0.06839505,-0.453069965,-0.467415708,-0.548289281,-0.575303875,-0.246095104,-0.416644553,-0.215831686,-0.203494792,-0.120116174,-0.157536617,0.025171455,0.011751731,0.130458609,0.140126977,0.027493853,-0.031855574,0.093390177,0.178933042,0.043491011,0.059672923,0.112431686,-0.036042647,0.029655902,-0.032283507,-0.012518214,0.024857791,-0.08702118,-0.02467615,-0.035738788,0.023477067,0.046392738,0.034695461,-0.035268122,-6.87E-04,-0.029029851,0.088512218,0.042670712,0.006255901,-0.02561706,0.098228296,0.091665013,0.026191507,-0.052347635,-0.13592214,0.047158105,-0.12788197,-0.014975871,-0.086023698,0.068203051,0.063356108,0.032575131,0.11146783,0.016571783,-0.085100918,-0.094119442,-0.032411129,-0.240700755,0.107517891,-0.021604377,0.003406753
PI576394,-0.057730033,-0.066267541,-0.077045023,-0.101398955,-0.067122657,-0.47401736,0.126070587,-0.490934505,-0.05765775,-0.004599076,-0.007702096,-0.043003574,0.007456606,-0.070779671,0.024653973,-0.088838714,-0.032405143,0.02964114,0.003039957,0.049598613,0.094102583,0.034138447,-0.027240046,-0.018322366,-0.089356758,-0.119201589,-0.067950086,-0.064106287,0.147078661,0.084334271,0.309371565,-0.257373082,-0.108311702,-0.037779379,-0.053738219,-0.020476894,-0.321048737,0.148628507,-0.076616534,-0.00665956,-0.009039892,-0.015973761,-0.062216396,-0.069314121,0.014811737,0.005961482,-0.013621119,-0.069644326,-0.057985895,-0.084438209,-0.010667026,-0.160065413,-0.109740487,-0.039110532,-0.148070213,-0.099117322,-0.239143889,0.009724938,0.026710371,0.012076992,-0.09240148,-0.079091876,0.069685081,-0.082353747,-0.144548794,-0.059105601,-0.074585539,-0.120480422,0.041020198,-0.077069597,-0.015409571,-0.063645645,0.062722854,-0.082906194,0.1486285,0.062221584,-0.061664686,0.083623477,-0.034068211,-0.044332468,-0.108490082,-0.107554267,-0.242020755,-0.041425292,-0.112566226,-0.121639488,-0.040140259,-0.068842438,0.038135444,0.060433322,-0.026358113,0.039528785,-0.019079003,-0.046097439,-0.089731507,-0.102849532,-0.014159351,-0.057924263,-0.040854502,-0.421734231,-0.372610455,-0.455829958,-0.209503837,-0.026971497,-0.111812795,-0.034326989,-0.002540139,0.185039083,0.068574002,0.416859082,0.072086156,0.15653235,0.219730517,0.150152268,0.038546924,0.117347237,-9.36E-04,0.085672068,0.137368719,8.24E-05,0.091531783,0.024999701,-0.041616877,-0.060439818,-0.16057508,-0.180721014,0.116529279,0.066838462,0.025756955,-0.043732247,-0.094908762,-0.137803452,-0.117119104,0.08521271,0.073263718,0.025488073,-0.043009384,-0.039068891,-0.043959326,-0.037620064,-0.16418847,-0.2089164,-0.212482583,-0.039472922,-0.021362455,-0.043934653,-0.259098001,-0.072808039,-0.070204669,-0.165981493,0.024097163,-0.271484799,0.021274317,-0.048443585,-0.148093684,0.167795076,-0.108339385,-0.347947165,-0.353047783
PI597951,-0.180122866,-0.091658626,-0.050693128,-0.016919869,-0.124495998,-0.494681437,-0.139847191,-0.521758508,-0.07632027,-0.048555877,-0.036647054,-0.062000691,-0.018194783,-0.128106249,0.081503049,-0.054825926,0.028438516,0.007203514,-0.049424309,0.083560006,-0.036921315,7.27E-04,-0.083989218,-0.056788388,-0.074833365,0.00218267,-0.080230069,-0.069980091,-0.015441822,0.036492061,0.081291404,-0.238550608,-0.147719465,-0.071268101,-0.070723696,0.082517425,-0.114024247,0.294734947,-0.119971066,-0.03569669,-0.067915391,-0.045264617,-0.085082994,-0.213331978,-0.267097557,-0.029075366,-0.005346784,-0.067455478,-0.071769658,-0.018612559,0.035243101,-0.143499717,-0.040059014,0.072208922,-0.081879736,-0.012899257,-0.17559253,-0.038276478,0.004614864,-0.04057019,-0.130366197,-0.066453106,0.196641089,-9.57E-04,-0.08723031,-0.045204952,-0.110809994,-0.129021518,0.120528188,0.056005814,0.070247972,-0.024846114,0.230332952,-0.071531888,0.294734942,0.165540856,-0.102238352,0.039324282,0.03812606,0.010630972,-0.075080121,-0.073532519,-0.084106963,-0.004526086,-0.082421572,-0.123279911,-0.07517473,-0.102575648,-0.069922223,-0.098228238,-0.107338134,0.01507785,-0.016879821,-0.069924806,-0.028191022,-0.067827029,-0.024298804,-0.048486391,-0.049138639,-0.58143762,-0.524876668,-0.586163531,-0.351934671,-0.122199359,-0.457921793,-0.152959419,-0.125157656,3.61E-04,-0.268684752,-0.126171001,-0.029967643,0.078004437,-0.012781137,-0.073518314,-0.07186921,0.007126669,-0.041088022,-0.028222771,0.101083877,0.032295692,-0.008115488,-0.058651314,-0.133271921,-0.02347084,-0.053837728,-0.144401515,0.006610615,-0.020910259,-0.002109868,-0.078214116,-0.164930216,-0.232627237,-0.22604367,-0.046133465,0.031873636,-0.058941802,-0.01915013,-0.021714012,0.003884042,-0.022365346,-0.166675645,-0.236324359,-0.244897439,-0.064657729,-0.183782286,-0.058639822,-0.090854914,0.005129034,-0.039183301,-0.151304,-0.06851743,-0.255571439,-0.091594163,-0.120306734,-0.203345919,-0.283731285,-0.197312798,-0.418400711,-0.381376544
PI656104,-0.233380218,-0.013923299,-0.049979435,0.028065714,0.019634545,-0.502868472,0.086110681,-0.509512364,-0.039277615,0.033186059,0.033383787,0.022058998,-0.044932397,-0.208950443,0.052039822,0.050402725,0.052975466,0.03865392,-0.070280905,-0.147201087,0.058785912,0.029969188,0.096400634,0.01587751,0.16671511,0.034326961,-0.065234441,-0.045776758,0.229278468,0.41663141,0.161393115,-0.022608373,-0.094085679,0.024601909,0.087514791,0.397130156,-0.390497878,0.515883208,0.009619123,0.052754045,0.057897087,-0.013223011,-0.024969519,-0.119881739,0.089771378,0.124225241,0.093362688,0.0314893,-0.028687898,0,0.256635934,-0.112218015,0.061446491,0.486330135,0.053958162,0.240096473,0.106338928,0.272725236,0.10765718,0.271133701,-0.064099333,0.059197068,0.031773386,0.301090052,0.140042238,0.092165365,0.059059194,-0.083573827,-0.083174811,0.364195041,0.211046276,0.465182426,0.519068178,-0.031087172,0.515883164,0.18829207,0.003027442,0.115041747,0.210754196,0.139166541,-0.019111031,0.050162969,0.206064268,0.181802363,-0.010878428,-0.15903723,0.071571425,0.031652113,-0.032010515,-0.030166317,-0.012456375,0.138602059,0.063958857,0.031979243,-0.029538126,0.066192262,0.05981565,0.00351476,0.069770399,-0.543603646,-0.420824874,-0.571783858,-0.465169192,-0.107670656,-0.282025625,-0.120940061,-0.141115838,-0.006549357,0.009755936,0.194583616,0.08462142,0.165663407,0.169556669,0.088834704,0.099168145,0.133152151,0.215071078,0.438841549,0.640873822,-0.078324508,0.092071504,0.067307933,-0.021428178,0.212084826,-0.024736839,-0.344519776,0.104497416,0.11366058,0.096119473,-0.081614207,-0.255235326,-0.369287751,-0.337080809,0.140799496,0.07534934,0.123597489,0.033378975,0.002737015,-0.096628475,-0.189731798,-0.345894031,-0.386631203,0.01048796,0.095562745,0.183994831,0.088405447,-0.111103415,-0.120286112,-0.276184787,-0.40324628,0.411311635,0.025115559,0.300790387,0.287339212,-0.28937408,0.002477574,0.083023379,-0.420821918,-0.190238132
